,Madrid,Murcia,Asturias,Rioja,Cantabria,Navarra,Baleares,Almeria,Cadiz,Cordoba,Granada,Huelva,Jaen,Malaga,Sevilla,Huesca,Teruel,Zaragoza,Las Palmas,Tenerife,Avila,Burgos,Leon,Palencia,Salamanca,Segovia,Soria,Valladolid,Zamora,Albacete,Ciudad Real,Cuenca,Guadalajara,Toledo,Barcelona,Girona,Lleida,Tarragona,Alicante,Castellon,Valencia,Alava,Guipuzkoa,Bizkaia,Badajoz,Caceres,Coruña,Lugo,Ourense,Pontevedra
junio 2021,13.7,6.8,7.5,6.9,8.3,8.9,11.7,6.5,8.1,7.1,7.8,7.7,5.0 ,9.5,9.2,8.0 ,5.4,8.1,10.5,9.2,5.4,7.1,6.0 ,6.0 ,7.7,7.4,6.0 ,6.9,5.2,6.1,5.2,5.3,6.7,6.1,13.9,9.5,7.8,7.7,7.1,6.3,8.2,9.7,13.6,11.8,5.6,5.2,6.9,5.3,5.8,9.1
mayo 2021,13.7,6.7,7.5,6.9,8.1,8.9,11.6,6.4,7.9,7.1,7.8,7.2,4.9,9.4,9.1,8.0 ,5.5,8.1,10.4,9.1,5.4,7.1,6.0 ,6.1,7.6,7.3,6.0 ,6.8,5.0 ,6.0 ,5.2,5.1,6.7,6.0 ,13.8,9.5,7.6,7.7,7.1,6.2,8.1,9.7,13.6,11.9,5.5,5.2,6.9,5.3,5.8,8.9
abril 2021,13.7,6.6,7.5,6.8,8.1,8.9,11.4,6.3,7.8,7.0 ,7.8,7.0 ,4.9,9.4,9.3,8.1,5.4,8.1,10.4,9.1,5.3,6.9,6.0 ,6.1,7.7,7.3,6.1,6.8,5.0 ,5.9,5.2,4.9,6.8,6.0 ,13.8,9.4,7.9,7.7,7.1,6.1,8.1,9.7,13.8,11.9,5.4,5.2,7.0 ,5.3,5.8,8.8
marzo 2021,13.8,6.5,7.5,6.7,8.0 ,8.9,11.3,6.3,7.8,7.0 ,7.9,6.7,4.9,9.4,9.3,8.0 ,5.5,8.0 ,10.4,9.1,5.3,7.1,5.9,6.0 ,7.8,7.2,6.0 ,6.9,5.0 ,5.9,5.2,4.7,6.8,6.0 ,13.9,9.3,7.7,7.7,7.1,6.1,8.1,9.5,13.7,11.8,5.5,5.2,6.9,5.3,5.9,8.4
febrero 2021,13.9,6.5,7.5,6.8,8.0 ,8.8,11.3,6.3,7.7,6.9,8.0 ,6.7,4.8,9.4,9.2,7.9,5.2,8.0 ,10.4,9.1,5.2,7.1,5.9,6.0 ,7.8,7.0 ,6.0 ,6.8,5.0 ,5.9,5.1,4.5,6.8,6.0 ,13.9,9.3,7.8,7.7,7.2,6.1,8.1,9.6,13.7,11.8,5.5,5.2,6.8,5.2,5.8,8.2
enero 2021,14.0 ,6.4,7.4,6.8,7.9,8.8,11.4,6.2,7.7,6.9,8.0 ,6.6,4.8,9.4,9.2,7.9,5.2,8.1,10.5,9.1,5.2,6.9,5.9,5.9,7.7,6.9,5.9,6.8,5.0 ,6.1,5.1,4.7,6.6,5.9,14.0 ,9.2,7.8,7.5,7.2,6.1,8.2,9.7,14.1,11.9,5.4,5.2,6.8,5.3,5.9,8.2
diciembre 2020,14.2,6.4,7.4,6.6,7.9,8.7,11.7,6.2,7.7,6.8,7.9,6.5,4.8,9.5,9.4,8.0 ,5.3,8.1,10.5,9.1,5.2,6.9,5.9,6.0 ,7.6,6.8,5.6,6.9,4.9,5.9,5.1,4.6,6.4,5.9,14.2,9.2,8.6,7.5,7.2,6.1,8.3,9.7,14.0 ,11.9,5.4,5.2,6.8,5.1,5.9,8.0 
noviembre 2020,14.5,6.4,7.4,6.7,7.8,8.6,11.9,6.2,7.7,6.8,7.9,6.6,4.8,9.6,9.4,7.6,5.2,8.0 ,10.6,9.2,5.2,6.9,5.9,6.0 ,7.7,6.8,5.8,6.9,4.8,5.9,5.0 ,4.7,6.3,5.9,14.5,9.2,8.3,7.5,7.2,6.1,8.3,9.4,14.0 ,11.9,5.5,5.1,6.8,5.2,6.0 ,7.9
octubre 2020,14.7,6.6,7.4,6.8,7.9,8.6,12.0 ,6.1,7.7,6.8,7.8,6.6,4.9,9.6,9.3,7.6,5.4,8.0 ,10.6,9.2,5.3,7.0 ,5.8,6.0 ,7.7,6.9,5.8,6.9,4.9,5.9,5.1,4.8,6.4,6.0 ,15.0 ,9.3,8.0 ,7.5,7.2,6.1,8.3,9.4,14.0 ,11.9,5.4,5.0 ,6.8,5.3,6.0 ,8.0 
septiembre 2020,14.9,6.7,7.4,6.7,8.0 ,8.7,12.3,6.1,7.8,6.8,7.7,6.9,4.8,9.7,9.3,7.6,5.3,8.0 ,10.4,9.2,5.3,6.9,5.9,5.9,7.7,6.9,5.9,6.8,5.1,5.9,5.0 ,4.8,6.5,5.9,15.3,9.5,7.8,7.4,7.2,6.1,8.3,9.5,13.9,11.8,5.5,5.0 ,6.8,5.4,6.0 ,8.3
agosto 2020,15.0 ,6.8,7.4,6.8,8.2,8.5,12.5,6.1,7.9,6.8,7.8,7.4,5.0 ,9.8,9.4,7.5,5.2,8.1,10.3,9.2,5.3,6.9,5.8,5.8,7.7,6.9,5.9,6.8,5.2,5.9,5.0 ,4.7,6.4,5.9,15.1,9.6,7.8,7.3,7.2,6.3,8.4,9.5,13.8,11.8,5.5,5.1,6.8,5.5,5.8,8.4
julio 2020,15.1,6.7,7.4,6.6,8.2,8.5,12.7,6.2,8.0 ,6.9,7.7,7.6,5.0 ,9.8,9.5,7.4,5.3,8.1,10.4,9.2,5.3,6.9,5.8,5.8,7.7,6.9,5.7,6.9,5.1,5.8,5.0 ,4.7,6.4,5.9,15.1,9.3,7.7,7.4,7.2,6.3,8.4,9.3,13.5,11.8,5.5,5.1,6.8,5.3,5.8,8.7
junio 2020,15.3,6.6,7.4,6.6,7.9,8.6,13.1,6.1,7.8,6.9,7.5,7.2,4.9,9.9,9.7,7.5,5.0 ,8.0 ,10.7,9.4,5.3,6.8,5.7,5.6,7.7,7.0 ,5.7,7.0 ,5.2,5.9,5.0 ,4.8,6.4,5.9,15.4,8.9,8.0 ,7.5,7.3,6.2,8.5,9.5,13.4,11.7,5.4,4.9,6.8,5.1,5.6,8.4
mayo 2020,15.4,6.4,7.3,6.6,7.6,8.5,13.7,6.1,7.8,6.8,7.4,7.0 ,4.9,9.8,9.5,7.4,4.9,7.9,10.8,9.5,5.1,6.7,5.7,5.6,7.7,6.9,5.6,7.0 ,5.2,5.9,5.0 ,4.8,6.4,5.7,15.9,8.9,7.4,7.4,7.3,6.2,8.4,9.1,13.6,11.7,5.4,4.8,6.6,5.0 ,5.5,8.1
abril 2020,15.1,6.2,7.2,6.4,7.6,8.6,13.6,6.1,7.7,6.7,7.4,6.7,4.8,9.7,9.2,7.3,5.0 ,7.9,10.4,9.5,4.9,6.8,5.7,5.8,7.6,6.8,5.5,6.9,4.9,5.9,5.0 ,4.8,6.3,5.7,15.7,8.7,7.1,7.4,7.2,6.1,8.3,9.2,13.5,11.7,5.4,4.8,6.7,5.1,5.3,8.0 
marzo 2020,15.0 ,6.1,7.2,6.3,7.6,8.4,13.2,6.1,7.6,6.8,7.3,6.7,4.7,9.6,9.1,7.3,4.9,7.9,10.4,9.3,4.9,6.7,5.7,5.7,7.4,6.8,5.8,6.8,4.8,5.9,5.0 ,5.0 ,6.3,5.6,15.3,8.7,7.3,7.4,7.2,6.0 ,8.2,9.3,13.5,11.6,5.4,4.8,6.7,4.9,5.2,7.8
febrero 2020,15.0 ,6.0 ,7.2,6.4,7.5,8.4,12.9,6.0 ,7.6,6.7,7.1,6.5,4.5,9.6,9.1,7.4,4.7,7.9,10.6,9.2,4.9,6.6,5.7,5.7,7.2,6.8,5.9,6.7,4.8,5.8,5.0 ,4.8,6.2,5.6,15.2,9.0 ,7.7,7.4,7.2,5.7,8.1,9.4,13.7,11.8,5.2,4.7,6.6,4.8,5.2,7.7
enero 2020,14.8,6.1,7.2,6.5,7.5,8.4,12.6,6.0 ,7.5,6.6,7.0 ,6.4,4.5,9.7,9.0 ,7.5,4.7,8.0 ,10.6,9.1,5.0 ,6.6,5.6,5.7,7.1,6.9,5.8,6.8,4.9,5.8,4.9,4.6,6.1,5.6,15.1,9.1,8.6,7.3,7.2,5.6,8.1,9.3,13.5,11.6,5.2,4.8,6.5,4.9,5.2,7.5
diciembre 2019,14.7,6.1,7.2,6.5,7.6,8.5,12.6,6.0 ,7.4,6.5,7.1,6.4,4.5,9.7,9.2,7.9,4.6,8.0 ,10.5,9.2,4.9,6.7,5.7,5.7,7.0 ,6.8,5.8,6.8,4.9,5.8,4.9,4.7,6.1,5.6,14.9,9.0 ,10.3,7.3,7.2,5.8,8.0 ,9.1,13.5,11.5,5.2,4.8,6.5,5.1,5.2,7.4
noviembre 2019,14.8,6.2,7.2,6.4,7.5,8.5,12.6,5.9,7.4,6.6,7.2,6.4,4.5,9.7,9.2,7.8,4.8,8.0 ,10.5,9.3,4.9,6.7,5.6,5.7,7.1,6.8,5.6,6.8,4.9,5.7,4.9,4.7,6.0 ,5.6,14.9,8.9,9.7,7.4,7.1,5.8,8.1,9.5,13.5,11.4,5.2,4.8,6.5,5.0 ,5.2,7.4
octubre 2019,15.0 ,6.3,7.2,6.4,7.5,8.4,12.5,5.9,7.3,6.6,7.3,6.4,4.6,9.6,9.1,7.4,4.8,7.9,10.7,9.3,4.9,6.6,5.5,5.8,7.1,6.6,5.7,6.8,4.8,5.7,4.9,4.7,6.0 ,5.6,15.2,8.8,9.1,7.3,7.1,5.8,8.1,9.3,13.6,11.3,5.2,4.7,6.4,5.0 ,5.3,7.5
septiembre 2019,15.1,6.4,7.2,6.4,7.7,8.3,12.6,6.0 ,7.4,6.7,7.4,6.8,4.8,9.4,8.9,7.1,4.9,7.8,10.6,9.2,5.0 ,6.7,5.6,5.7,7.2,6.8,5.5,6.7,4.9,5.6,4.9,4.7,6.1,5.4,15.3,8.7,7.7,7.3,7.1,5.9,8.1,9.2,13.4,11.2,5.2,4.8,6.4,5.1,4.9,7.7
agosto 2019,14.9,6.5,7.2,6.3,7.7,8.3,13.0 ,6.0 ,7.5,6.7,7.4,7.5,4.8,9.4,8.9,7.1,4.9,7.8,10.8,9.1,5.0 ,6.7,5.6,5.8,7.2,6.7,5.5,6.7,4.8,5.6,4.9,4.8,6.1,5.4,15.2,8.8,6.6,7.2,7.0 ,6.0 ,8.1,9.3,13.3,11.2,5.2,4.8,6.3,5.2,5.1,7.9
julio 2019,14.7,6.4,7.2,6.2,7.7,8.2,13.5,6.0 ,7.5,6.7,7.5,7.5,4.8,9.5,8.9,7.0 ,4.8,7.7,10.9,9.2,5.0 ,6.6,5.6,5.8,7.2,6.5,5.4,6.8,4.7,5.6,4.9,4.8,6.0 ,5.4,15.2,8.5,6.5,7.2,6.8,6.0 ,8.1,9.3,13.0 ,11.2,5.3,4.6,6.2,5.0 ,5.4,7.9
junio 2019,14.8,6.3,7.2,6.2,7.6,8.1,13.9,6.0 ,7.4,6.7,7.5,7.1,4.6,9.4,8.8,7.0 ,4.9,7.6,10.7,9.2,4.8,6.6,5.5,5.8,7.3,6.4,5.4,6.9,4.9,5.7,4.9,5.1,5.9,5.4,15.1,8.4,6.5,7.1,6.8,5.9,8.0 ,9.2,12.9,11.1,5.4,4.9,6.2,4.9,5.5,7.7
mayo 2019,14.8,6.1,7.1,6.1,7.3,7.9,13.8,5.9,7.2,6.5,7.5,6.8,4.4,9.3,8.7,6.7,4.9,7.5,10.5,9.1,4.8,6.5,5.4,5.8,7.3,6.3,5.4,6.8,4.9,5.7,4.9,5.1,5.7,5.3,15.0 ,8.3,6.4,6.8,6.7,5.6,7.7,9.0 ,12.9,11.1,5.3,5.0 ,6.1,4.8,5.3,7.5
abril 2019,14.7,5.9,7.1,5.9,7.2,7.5,13.1,5.7,7.0 ,6.5,7.3,6.6,4.4,9.2,8.7,6.8,4.6,7.5,10.3,8.8,4.6,6.4,5.2,5.7,7.2,6.1,5.2,6.7,4.8,5.8,4.8,4.8,5.7,5.2,14.8,8.0 ,6.2,6.8,6.7,5.5,7.6,8.8,12.8,10.9,5.1,5.0 ,5.9,4.8,5.3,7.4
marzo 2019,14.5,5.8,7,5.9,7.4,7.6,12.8,5.6,7.0 ,6.5,7.1,6.3,4.4,9.2,8.6,6.8,4.5,7.4,10.2,8.7,4.5,6.5,5.3,5.5,6.9,6.0 ,5.2,6.5,4.8,5.6,4.8,4.7,5.8,5.1,14.7,7.9,6.2,6.8,6.7,5.4,7.5,8.8,12.9,10.9,5.1,4.7,5.9,4.8,5.2,7.1
febrero 2019,14.5,5.7,6.9,5.9,7.3,7.6,12.5,5.6,7.0 ,6.5,7.0 ,5.9,4.3,9.2,8.6,6.7,4.6,7.3,10.2,8.7,4.5,6.5,5.1,5.5,6.8,6.1,5.4,6.5,4.8,5.6,4.8,4.7,5.8,5.0 ,14.6,7.9,6.6,6.7,6.7,5.3,7.3,8.7,12.8,10.9,5.1,4.6,5.8,4.8,5.0 ,7.0 
enero 2019,14.2,5.6,6.9,5.9,7.3,7.7,12.4,5.6,7.0 ,6.4,7.0 ,5.9,4.2,9.3,8.5,7.1,4.8,7.3,10.3,8.7,4.4,6.6,5.1,5.5,6.9,6.1,5.4,6.4,4.8,5.6,4.7,4.8,5.6,5.0 ,14.7,7.9,6.6,6.7,6.7,5.2,7.3,8.8,12.9,10.8,5.0 ,4.6,5.8,4.7,5.2,6.9
diciembre 2018,14.2,5.7,6.9,6.0 ,7.3,7.7,12.4,5.6,7.0 ,6.3,7.0 ,5.9,4.3,9.3,8.5,7.1,4.7,7.4,10.3,8.6,4.4,6.6,5.1,5.5,6.8,6.0 ,5.3,6.3,4.7,5.5,4.8,4.7,5.7,5.0 ,14.6,8.0 ,6.3,6.7,6.8,5.3,7.4,8.9,12.9,10.9,4.9,4.6,5.8,4.7,5.3,7.0 
noviembre 2018,14.3,5.8,6.9,5.9,7.2,7.7,12.4,5.6,7.1,6.3,6.9,6.0 ,4.3,9.4,8.5,7.0 ,4.5,7.3,10.1,8.5,4.5,6.4,5.1,5.4,6.8,5.8,5.4,6.3,4.7,5.4,4.7,4.7,5.7,5.0 ,14.7,8.4,6.3,6.6,6.8,5.3,7.4,8.8,13.1,10.9,4.8,4.4,5.8,4.6,5.2,7.1
octubre 2018,14.5,6.0 ,6.9,6.1,7.2,7.7,12.2,5.6,7.0 ,6.3,6.9,6.2,4.4,9.4,8.4,6.9,4.4,7.3,10.0 ,8.5,4.6,6.4,5.1,5.4,6.8,5.9,5.6,6.3,4.5,5.4,4.7,4.7,5.6,5.1,14.7,8.7,5.8,6.6,6.8,5.4,7.4,8.8,13.1,10.8,4.8,4.5,5.7,4.7,5.2,7.1
septiembre 2018,14.4,6.2,6.9,6.3,7.2,7.5,12.4,5.6,7.0 ,6.4,6.9,6.4,4.4,9.3,8.4,6.9,4.4,7.3,10.0 ,8.4,4.6,6.4,5.2,5.4,6.8,6.1,5.7,6.3,4.4,5.4,4.8,4.7,5.6,5.1,14.6,9.1,5.8,6.6,6.7,5.5,7.4,8.7,13.0 ,10.8,5.0 ,4.5,5.7,4.8,4.8,7.1
agosto 2018,14.4,6.2,6.8,6.2,7.4,7.5,12.9,5.6,7.1,6.5,6.8,6.7,4.5,9.4,8.4,6.8,4.5,7.4,10.0 ,8.4,4.6,6.3,5.2,5.3,6.8,6.0 ,5.7,6.3,4.3,5.4,4.8,4.7,5.6,5.1,14.5,9.0 ,5.8,6.6,6.7,5.6,7.3,8.7,13.0 ,10.8,5.0 ,4.5,5.7,4.9,4.8,7.2
julio 2018,14.2,6.0 ,6.8,5.8,7.3,7.5,13.7,5.7,7.2,6.5,6.7,7.3,4.5,9.4,8.3,6.8,4.4,7.5,10.2,8.4,4.5,6.2,5.3,5.2,6.9,6.0 ,5.5,6.2,4.3,5.5,4.8,4.6,5.6,5.0 ,14.5,8.7,5.8,6.6,6.7,5.5,7.3,8.8,12.9,10.9,5.1,4.7,5.8,4.9,5.1,7.2
junio 2018,14.1,5.8,6.7,5.7,7.3,7.4,14.0 ,5.6,7.1,6.4,6.6,7.1,4.3,9.3,8.1,6.7,4.4,7.4,10.2,8.3,4.4,6.1,5.2,5.3,7.0 ,6.0 ,5.3,6.2,4.4,5.5,4.8,4.7,5.5,4.9,14.5,8.6,5.9,6.5,6.6,5.4,7.2,8.7,13.0 ,10.9,5.1,4.8,5.7,4.9,5.0 ,7.1
mayo 2018,13.9,5.7,6.7,5.8,7.3,7.3,13.8,5.5,7.0 ,6.3,6.4,6.7,4.3,9.1,8.0 ,6.9,4.4,7.3,10.1,8.2,4.3,6.0 ,5.0 ,5.5,7.0 ,5.9,5.3,6.2,4.4,5.4,4.7,4.5,5.5,4.7,14.9,8.4,5.9,6.5,6.5,5.2,7.1,8.5,12.9,10.8,5.0 ,4.6,5.6,4.8,5.1,6.9
abril 2018,13.8,5.6,6.7,5.6,7.2,7.2,13.2,5.5,6.9,6.3,6.3,6.4,4.1,9.0 ,8.0 ,6.8,4.4,7.2,9.9,8.0 ,4.2,6.0 ,5.0 ,5.4,6.8,6.0 ,5.2,6.2,4.4,5.4,4.7,4.4,5.5,4.7,14.9,8.1,5.8,6.5,6.4,5.0 ,7.2,8.6,12.9,10.7,5.0 ,4.6,5.7,4.5,5.3,6.8
marzo 2018,13.5,5.6,6.7,5.6,7.1,7.2,12.5,5.4,6.8,6.4,6.5,6.0 ,4.2,8.9,8.0 ,6.9,4.5,7.0 ,9.5,7.9,4.2,6.0 ,5.0 ,5.4,6.6,5.9,5.2,6.2,4.3,5.3,4.7,4.4,5.3,4.7,14.9,8.0 ,5.9,6.4,6.3,5.0 ,7.0 ,8.3,12.7,10.6,5.0 ,4.6,5.6,4.5,5.0 ,6.8
febrero 2018,13.4,5.5,6.7,5.6,6.9,7.0 ,12.0 ,5.3,6.7,6.5,6.8,6.0 ,4.2,8.9,7.9,7.1,4.3,6.9,9.5,7.8,4.2,6.0 ,5.1,5.5,6.6,5.8,5.1,6.2,4.2,5.3,4.7,4.4,5.3,4.8,14.9,7.9,6.2,6.5,6.4,5.3,6.9,8.2,12.6,10.5,4.9,4.6,5.6,4.6,4.9,6.9
