,Madrid,Murcia,Asturias,Rioja,Cantabria,Navarra,Baleares,Almeria,Cadiz,Cordoba,Granada,Huelva,Jaen,Malaga,Sevilla,Huesca,Teruel,Zaragoza,Las Palmas,Tenerife,Avila,Burgos,Leon,Palencia,Salamanca,Segovia,Soria,Valladolid,Zamora,Albacete,Ciudad Real,Cuenca,Guadalajara,Toledo,Barcelona,Girona,Lleida,Tarragona,Alicante,Castellon,Valencia,Alava,Guipuzkoa,Bizkaia,Badajoz,Caceres,Coru√±a,Lugo,Ourense,Pontevedra
enero 2018,13.2,5.5,6.6,5.4,6.7,7.0 ,11.8,5.2,6.6,6.4,6.8,5.9,4.1,8.8,7.9,7.1,4.2,6.9,9.5,7.7,4.1,6.0 ,5.0 ,5.5,6.4,5.7,5.3,6.1,4.3,5.3,4.7,4.4,5.2,4.7,14.8,7.7,6.2,6.4,6.3,6.2,6.8,8.4,12.6,10.6,4.9,4.6,5.5,4.6,4.8,6.9
diciembre 2017,13.0 ,5.3,6.6,5.5,6.8,6.9,11.9,5.2,6.6,6.3,6.5,5.9,4.2,8.7,7.9,7.2,4.2,6.8,9.5,7.6,4.0 ,6.0 ,5.0 ,5.5,6.3,5.7,5.2,6.1,4.3,5.3,4.6,4.4,5.1,4.5,14.8,7.5,6.1,6.4,6.2,6.3,6.7,8.4,12.5,10.7,4.8,4.7,5.5,4.5,4.9,6.8
noviembre 2017,13.0 ,5.4,6.6,5.4,6.7,7.0 ,11.8,5.2,6.6,6.1,6.3,6.0 ,4.2,8.5,7.8,6.8,4.2,6.8,9.4,7.6,4.1,5.9,5.0 ,5.5,6.3,5.6,5.2,6.1,4.4,5.3,4.6,4.5,5.1,4.6,14.5,7.6,6.4,6.4,6.2,6.5,6.7,8.5,12.3,10.7,4.8,4.7,5.4,4.5,4.8,6.6
octubre 2017,13.0 ,5.5,6.6,5.4,6.9,7.0 ,11.8,5.2,6.6,6.1,6.4,5.9,4.2,8.5,7.8,6.7,4.2,6.8,9.3,7.5,4.1,5.9,5.1,5.6,6.4,5.6,5.3,6.1,4.4,5.3,4.6,4.6,5.2,4.8,14.6,7.8,6.2,6.3,6.2,6.0 ,6.6,8.5,12.1,10.5,4.8,4.7,5.4,4.4,4.9,6.5
septiembre 2017,13.0 ,5.6,6.6,5.4,7.0 ,7.0 ,12.2,5.3,6.6,6.0 ,6.4,6.3,4.3,8.4,7.8,6.6,4.3,6.9,9.1,7.4,4.2,5.9,5.1,5.5,6.4,5.7,5.3,6.0 ,4.4,5.2,4.6,4.6,5.3,4.8,14.5,7.8,5.8,6.2,6.3,4.9,6.6,8.4,11.8,10.4,4.8,4.7,5.4,4.4,4.7,6.5
agosto 2017,12.9,5.6,6.5,5.5,7.0 ,7.0 ,12.8,5.3,6.8,6.0 ,6.5,6.6,4.4,8.3,7.8,6.6,4.3,6.9,9.1,7.3,4.2,5.9,5.1,5.4,6.5,5.7,5.4,6.0 ,4.5,5.1,4.7,4.7,5.3,4.8,14.2,7.9,5.7,6.2,6.3,5.0 ,6.5,8.4,11.8,10.5,4.9,4.7,5.4,4.4,4.8,6.5
julio 2017,12.7,5.5,6.5,5.4,6.9,6.9,13.3,5.3,6.8,6.0 ,6.4,6.6,4.4,8.2,7.6,6.7,4.2,6.8,8.8,7.2,4.2,5.8,5.1,5.4,6.6,5.6,5.3,6.0 ,4.5,5.1,4.6,4.6,5.2,4.6,14.1,7.7,5.8,6.2,6.2,5.0 ,6.5,8.3,11.6,10.4,4.9,4.7,5.4,4.4,4.9,6.6
junio 2017,12.4,5.4,6.4,5.4,6.8,6.8,13.4,5.2,6.7,5.9,6.3,6.5,4.3,8.2,7.5,6.6,4.2,6.7,8.8,7.1,4.0 ,5.6,5.1,5.3,6.5,5.5,5.2,6.0 ,4.5,5.1,4.5,4.5,5.1,4.6,14.1,7.8,5.7,6.3,6.1,5.0 ,6.5,8.2,11.5,10.4,4.8,4.9,5.3,4.4,4.8,6.6
mayo 2017,12.3,5.2,6.3,5.3,6.7,6.7,13.0 ,5.2,6.4,5.9,6.2,6.2,4.1,8.0 ,7.5,6.5,4.3,6.5,8.7,6.9,4.0 ,5.7,5.0 ,5.2,6.5,5.5,5.1,5.9,4.5,5.0 ,4.5,4.4,5.1,4.5,14.1,7.6,5.7,6.2,6.0 ,4.9,6.4,7.9,11.6,10.5,4.7,4.8,5.3,4.3,4.6,6.7
abril 2017,12.2,5.1,6.3,5.3,6.7,6.8,12.1,5.1,6.4,5.9,6.1,6.1,4.1,7.9,7.4,6.4,4.3,6.5,8.5,6.8,4.0 ,5.6,5.0 ,5.2,6.5,5.5,5.1,5.8,4.5,4.9,4.5,4.4,5.0 ,4.4,14.2,7.4,5.7,6.2,5.9,4.8,6.3,7.8,11.4,10.4,4.7,4.8,5.3,4.2,4.8,6.6
marzo 2017,12.2,5.1,6.4,5.2,6.6,6.8,11.2,5.0 ,6.4,5.9,6.0 ,5.9,4.0 ,7.7,7.3,6.5,4.2,6.5,8.3,6.7,3.9,5.7,4.9,5.1,6.3,5.4,5.0 ,5.7,4.4,4.8,4.6,4.4,4.9,4.4,14.2,7.3,5.6,6.2,5.9,4.8,6.2,7.9,11.4,10.4,4.6,4.8,5.2,4.3,4.7,6.5
febrero 2017,12.1,5.0 ,6.3,5.2,6.6,6.7,10.7,5.0 ,6.4,5.9,5.9,5.7,4.0 ,7.6,7.3,6.5,4.2,6.5,8.1,6.7,3.9,5.7,4.9,5.1,6.2,5.4,5.0 ,5.7,4.4,4.9,4.7,4.3,4.8,4.4,14.0 ,7.2,5.6,6.0 ,5.9,4.8,6.1,7.9,11.4,10.4,4.6,4.8,5.2,4.2,4.6,6.4
enero 2017,11.9,5.0 ,6.3,5.2,6.6,6.5,10.4,5.0 ,6.4,5.8,5.8,5.7,4.0 ,7.6,7.1,6.6,4.2,6.5,7.9,6.5,3.9,5.6,5.0 ,4.9,6.2,5.3,5.1,5.7,4.4,4.9,4.6,4.3,4.8,4.3,13.7,7.1,5.6,5.9,5.9,4.8,6.1,7.8,11.3,10.3,4.5,4.9,5.2,4.2,4.6,6.4
diciembre 2016,11.7,4.9,6.3,5.2,6.6,6.5,10.2,5.0 ,6.4,5.8,5.8,5.8,4.0 ,7.5,7.2,6.6,4.3,6.4,7.8,6.6,3.9,5.6,4.9,5.0 ,6.1,5.2,5.1,5.7,4.3,4.8,4.6,4.3,4.8,4.3,13.3,7.0 ,5.6,5.9,5.8,4.8,6.1,7.8,11.3,10.2,4.5,4.6,5.2,4.3,4.5,6.5
noviembre 2016,11.7,5.0 ,6.3,5.1,6.5,6.5,9.9,4.9,6.3,5.7,5.9,5.8,4.1,7.4,7.2,6.6,4.2,6.5,7.9,6.6,3.9,5.6,4.9,5.0 ,6.1,5.3,5.1,5.7,4.3,4.7,4.6,4.3,4.8,4.5,13.1,7.0 ,5.5,5.9,5.8,4.9,6.0 ,7.9,11.3,10.2,4.5,4.2,5.2,4.3,4.5,6.5
octubre 2016,11.6,5.1,6.3,5.1,6.5,6.6,10.0 ,4.9,6.3,5.7,6.0 ,5.9,4.2,7.3,7.2,6.5,4.2,6.5,7.9,6.6,4.0 ,5.6,5.0 ,5.0 ,6.2,5.2,5.2,5.6,4.3,4.7,4.6,4.3,5.0 ,4.5,12.8,6.9,5.6,5.8,5.7,4.8,6.0 ,7.7,11.2,10.1,4.5,4.1,5.2,4.3,4.4,6.4
septiembre 2016,11.6,5.2,6.2,5.2,6.5,6.6,10.2,4.9,6.3,5.7,6.1,6.1,4.2,7.2,7.2,6.3,4.3,6.4,7.8,6.5,4.1,5.6,5.0 ,5.0 ,6.2,5.3,5.2,5.6,4.4,4.7,4.6,4.4,5.1,4.5,12.4,7.1,5.7,5.8,5.7,4.8,5.9,7.6,11.0 ,10.1,4.5,4.1,5.3,4.5,4.4,6.3
agosto 2016,11.5,5.3,6.2,5.2,6.5,6.6,10.6,5.0 ,6.3,5.8,6.1,6.2,4.2,7.3,7.2,6.4,4.3,6.3,7.7,6.4,4.1,5.5,5.0 ,4.9,6.3,5.2,5.2,5.5,4.4,4.8,4.6,4.5,5.1,4.5,12.1,7.0 ,5.5,5.8,5.8,4.9,5.9,7.7,10.9,10.1,4.5,4.2,5.3,4.4,4.4,6.2
julio 2016,11.5,5.2,6.2,5.2,6.5,6.7,10.9,5.0 ,6.4,5.7,6.1,6.3,4.2,7.3,7.2,6.3,4.2,6.3,7.7,6.4,4.0 ,5.4,4.9,4.9,6.3,5.2,5.1,5.5,4.3,4.9,4.6,4.4,5.1,4.4,11.9,7.1,5.5,5.8,5.7,4.8,5.8,7.7,10.6,10.1,4.5,4.1,5.2,4.5,4.4,6.3
junio 2016,11.2,5.2,6.2,5.1,6.4,6.7,10.9,4.9,6.4,5.7,6.0 ,6.2,4.1,7.3,7.1,6.3,4.2,6.3,7.6,6.4,3.9,5.4,4.8,4.9,6.3,5.1,4.9,5.5,4.4,4.7,4.6,4.2,5.1,4.3,11.9,7.1,5.5,5.8,5.7,4.8,5.8,7.7,10.4,10.0 ,4.5,4.0 ,5.2,4.4,4.3,6.3
mayo 2016,11.2,5.1,6.2,5.1,6.4,6.6,10.4,4.9,6.3,5.6,5.9,6.0 ,4.1,7.2,7.0 ,6.2,4.3,6.3,7.5,6.3,3.9,5.4,4.7,4.9,6.3,5.0 ,5.0 ,5.4,4.3,4.6,4.5,4.1,5.0 ,4.3,11.9,7.1,5.4,5.8,5.6,4.7,5.8,7.7,10.6,10.0 ,4.5,4.0 ,5.2,4.2,4.3,6.3
abril 2016,11.0 ,5.0 ,6.1,4.9,6.4,6.5,9.8,4.9,6.1,5.8,5.8,5.7,4.2,7.2,6.9,6.2,4.4,6.2,7.4,6.2,3.9,5.4,4.6,4.9,6.1,5.0 ,5.0 ,5.4,4.3,4.6,4.5,4.1,5.0 ,4.2,11.7,7.1,5.3,5.8,5.5,4.6,5.8,7.8,10.6,10.0 ,4.5,4.0 ,5.1,4.1,4.3,6.3
marzo 2016,10.9,5.0 ,6.1,4.9,6.3,6.5,9.1,4.8,6.1,5.8,5.6,5.4,4.1,7.1,6.8,6.1,4.4,6.2,7.3,6.1,4.0 ,5.4,4.6,4.9,6.0 ,5.0 ,5.0 ,5.4,4.3,4.6,4.5,4.1,5.0 ,4.2,11.6,7.0 ,5.3,5.8,5.5,4.6,5.7,7.6,10.7,10.0 ,4.4,4.0 ,5.1,4.2,4.5,6.1
febrero 2016,10.9,4.9,6.1,4.9,6.3,6.4,8.8,4.8,6.0 ,5.9,5.6,5.3,4.2,7.1,6.8,6.3,4.4,6.2,7.3,6.1,3.9,5.4,4.6,5.1,6.0 ,5.1,5.1,5.4,4.3,4.6,4.5,4.1,5.0 ,4.2,11.5,7.0 ,5.3,5.8,5.4,4.6,5.6,7.5,10.8,10.0 ,4.4,4.1,5.1,4.2,4.5,6.0 
enero 2016,10.8,4.9,6.1,5.1,6.2,6.3,8.4,4.9,6.0 ,5.8,5.5,5.3,4.1,7.0 ,6.8,6.1,4.4,6.2,7.4,6.1,3.9,5.4,4.5,5.0 ,6.0 ,5.0 ,5.0 ,5.5,4.3,4.5,4.5,4.1,5.0 ,4.2,11.2,6.8,5.3,5.8,5.4,4.6,5.6,7.5,10.5,9.9,4.4,4.1,5.1,4.2,4.6,6.1
diciembre 2015,10.7,4.9,6,5.0 ,6.1,6.3,8.2,4.8,6.0 ,5.8,5.5,5.5,4.1,6.9,6.8,6.1,4.4,6.2,7.4,6.1,3.9,5.4,4.5,4.9,6.1,5.0 ,5.0 ,5.4,4.3,4.6,4.5,4.2,4.9,4.2,11.1,6.8,5.3,5.7,5.3,4.5,5.5,7.6,10.7,9.8,4.3,4.0 ,5.1,4.2,4.7,6.2
noviembre 2015,10.7,4.9,6,4.9,6.1,6.3,8.2,4.8,6.1,5.7,5.6,5.5,4.2,6.9,6.8,6.0 ,4.3,6.1,7.3,6.1,4.0 ,5.4,4.6,4.9,6.2,4.9,5.1,5.4,4.3,4.7,4.5,4.3,4.9,4.2,11.0 ,6.9,5.4,5.7,5.3,4.5,5.5,7.6,10.9,10.0 ,4.4,4.1,5.1,4.2,4.5,6.3
octubre 2015,10.7,4.9,6,5.0 ,6.1,6.4,8.2,4.7,6.1,5.7,5.6,5.6,4.3,6.9,6.8,5.9,4.1,6.2,7.2,6.1,4.0 ,5.5,4.6,4.9,6.2,5.0 ,5.1,5.4,4.3,4.7,4.5,4.3,4.9,4.3,10.9,6.9,5.4,5.6,5.3,4.5,5.4,7.6,10.8,10.0 ,4.4,4.1,5.1,4.2,4.3,6.3
septiembre 2015,10.8,4.9,6,5.0 ,6.1,6.4,8.6,4.7,6.1,5.7,5.6,5.7,4.3,6.9,6.9,5.7,4.0 ,6.2,7.2,6.1,4.0 ,5.5,4.6,4.9,6.2,5.0 ,5.1,5.4,4.3,4.7,4.5,4.3,5.0 ,4.3,10.7,6.9,5.5,5.6,5.3,4.6,5.5,7.5,10.5,9.9,4.4,4.1,5.2,4.3,4.3,6.3
agosto 2015,10.6,5.0 ,6,5.1,6.2,6.4,8.6,4.7,6.2,5.7,5.7,5.9,4.4,6.9,6.8,5.8,4.1,6.2,7.1,6.0 ,4.1,5.5,4.5,5.0 ,6.2,5.0 ,5.1,5.4,4.3,4.7,4.5,4.2,5.0 ,4.2,10.5,6.9,5.5,5.6,5.2,4.5,5.4,7.5,10.5,9.9,4.5,4.1,5.2,4.2,4.3,6.3
julio 2015,10.5,4.9,6,5.0 ,6.1,6.4,8.8,4.7,6.1,5.6,5.6,6.0 ,4.3,6.9,6.8,5.9,4.1,6.1,7.1,6.1,4.0 ,5.5,4.6,5.0 ,6.3,4.9,5.1,5.3,4.3,4.7,4.5,4.1,5.0 ,4.2,10.4,6.8,5.4,5.6,5.2,4.6,5.4,7.6,10.4,9.9,4.4,4.1,5.2,4.2,4.3,6.4
junio 2015,10.4,4.9,6,4.9,6.0 ,6.4,8.7,4.7,6.1,5.6,5.6,5.8,4.3,6.8,6.6,5.8,4.1,6.0 ,7.1,6.0 ,3.9,5.5,4.6,5.0 ,6.3,4.8,5.1,5.2,4.2,4.7,4.4,4.0 ,4.9,4.1,10.3,6.7,5.4,5.6,5.2,4.6,5.4,7.5,10.3,9.9,4.3,4.1,5.1,4.3,4.3,6.4
mayo 2015,10.3,4.8,6,5.0 ,6.0 ,6.3,8.6,4.6,6.1,5.6,5.6,5.7,4.2,6.7,6.5,5.9,4.1,6.0 ,7.0 ,5.9,3.9,5.4,4.7,4.9,6.1,4.8,5.0 ,5.2,4.2,4.7,4.5,4.0 ,4.8,4.1,10.4,6.6,5.4,5.6,5.2,4.5,5.4,7.6,10.4,9.9,4.2,4.0 ,5.1,4.2,4.3,6.5
abril 2015,10.3,4.8,6,5.1,6.0 ,6.3,8.4,4.6,6.0 ,5.6,5.5,5.6,4.2,6.7,6.5,5.9,4.0 ,6.0 ,7.1,5.9,3.9,5.4,4.7,4.9,5.9,4.8,5.1,5.2,4.2,4.6,4.5,4.0 ,4.7,4.1,10.4,6.7,5.4,5.6,5.2,4.5,5.4,7.6,10.5,9.9,4.3,4.0 ,5.1,4.2,4.2,6.4
marzo 2015,10.2,4.8,5.9,5.1,6.0 ,6.2,8.1,4.7,5.9,5.6,5.4,5.5,4.2,6.7,6.4,5.9,4.0 ,6.0 ,6.8,5.9,3.9,5.4,4.6,4.8,5.9,4.9,5.0 ,5.2,4.2,4.6,4.4,4.0 ,4.5,4.1,10.3,6.6,5.3,5.7,5.2,4.5,5.3,7.6,10.5,9.8,4.3,4.0 ,5.1,4.2,4.2,6.4
febrero 2015,10.2,4.8,5.9,5.1,6.0 ,6.3,7.9,4.7,5.9,5.6,5.4,5.6,4.3,6.6,6.4,6.0 ,3.9,5.9,6.8,5.9,3.9,5.3,4.6,4.8,5.8,4.9,5.1,5.2,4.2,4.6,4.5,4.0 ,4.5,4.0 ,10.3,6.6,5.3,5.7,5.3,4.6,5.3,7.7,10.5,9.8,4.3,4.0 ,5.1,4.2,4.3,6.4
enero 2015,10.0 ,4.8,5.9,5.1,6.0 ,6.2,7.9,4.6,5.9,5.6,5.4,5.7,4.3,6.6,6.4,6.0 ,3.9,5.9,6.8,5.9,3.9,5.2,4.6,4.9,5.8,4.9,5.1,5.1,4.2,4.7,4.7,4.0 ,4.5,4.1,10.2,6.6,5.3,5.7,5.3,4.6,5.3,7.7,10.6,9.9,4.3,3.9,5.1,4.2,4.4,6.3
diciembre 2014,10.0 ,4.8,6,5.0 ,6.1,6.2,7.9,4.6,5.9,5.6,5.4,5.8,4.3,6.6,6.4,5.9,4.0 ,5.9,6.8,5.9,3.9,5.3,4.6,4.9,5.9,4.9,5.1,5.1,4.2,4.7,4.7,4.0 ,4.6,4.1,10.0 ,6.5,5.3,5.7,5.3,4.6,5.3,7.6,10.7,10.1,4.4,4.0 ,5.2,4.2,4.4,6.4
noviembre 2014,10.1,4.9,6,5.0 ,6.1,6.3,7.7,4.7,5.9,5.5,5.4,5.8,4.4,6.6,6.5,5.9,4.1,5.9,6.8,6.0 ,3.9,5.4,4.7,4.9,6.0 ,5.0 ,5.1,5.2,4.2,4.8,4.7,4.2,4.6,4.2,9.8,6.5,5.2,5.7,5.2,4.5,5.3,7.5,10.6,10.1,4.4,4.1,5.2,4.2,4.3,6.3
octubre 2014,10.2,4.9,6,5.0 ,6.1,6.3,7.7,4.7,5.9,5.5,5.4,5.7,4.4,6.6,6.5,5.9,4.1,5.9,6.8,5.9,4.0 ,5.4,4.7,5.0 ,6.0 ,5.0 ,5.2,5.2,4.2,4.7,4.7,4.1,4.6,4.2,9.8,6.4,5.3,5.7,5.2,4.6,5.3,7.5,10.4,10.0 ,4.4,4.1,5.2,4.3,4.1,6.2
septiembre 2014,10.2,4.9,6,5.0 ,6.0 ,6.3,7.8,4.7,5.9,5.5,5.4,5.9,4.5,6.6,6.5,5.8,4.1,5.9,6.8,5.9,4.0 ,5.5,4.7,5.0 ,6.0 ,5.0 ,5.2,5.2,4.2,4.7,4.7,4.2,4.7,4.2,9.6,6.5,5.2,5.7,5.2,4.6,5.3,7.6,10.2,10.0 ,4.4,4.2,5.2,4.3,4.1,6.3
agosto 2014,10.0 ,4.9,5.9,5.0 ,6.0 ,6.4,7.8,4.7,5.9,5.6,5.4,6.0 ,4.5,6.6,6.5,5.8,4.0 ,6.0 ,6.9,5.9,4.0 ,5.5,4.8,5.0 ,6.0 ,5.1,5.2,5.2,4.3,4.8,4.7,4.2,4.7,4.2,9.5,6.6,5.2,5.7,5.2,4.6,5.3,7.6,10.2,9.9,4.4,4.2,5.2,4.3,4.2,6.4
julio 2014,10.0 ,4.9,6,4.9,5.9,6.4,7.8,4.7,5.8,5.6,5.3,6.2,4.4,6.5,6.4,5.8,4.0 ,5.9,6.8,5.9,3.9,5.4,4.7,4.8,6.0 ,5.1,5.1,5.2,4.3,4.9,4.6,4.2,4.6,4.1,9.4,6.6,5.3,5.8,5.2,4.6,5.3,7.6,10.3,9.9,4.5,4.1,5.2,4.3,4.4,6.3
