,Madrid,Murcia,Asturias,Rioja,Cantabria,Navarra,Baleares,Almeria,Cadiz,Cordoba,Granada,Huelva,Jaen,Malaga,Sevilla,Huesca,Teruel,Zaragoza,Las Palmas,Tenerife,Avila,Burgos,Leon,Palencia,Salamanca,Segovia,Soria,Valladolid,Zamora,Albacete,Ciudad Real,Cuenca,Guadalajara,Toledo,Barcelona,Girona,Lleida,Tarragona,Alicante,Castellon,Valencia,Alava,Guipuzkoa,Bizkaia,Badajoz,Caceres,Coru√±a,Lugo,Ourense,Pontevedra
junio 2014,10.0 ,4.9,6,5.0 ,5.9,6.3,7.9,4.7,5.8,5.5,5.3,6.1,4.4,6.4,6.3,5.8,4.1,5.9,6.7,5.8,3.9,5.4,4.7,4.9,6.0 ,5.0 ,5.1,5.2,4.2,4.8,4.6,4.1,4.5,4.1,9.3,6.6,5.4,5.7,5.1,4.6,5.2,7.6,10.2,9.9,4.4,4.0 ,5.3,4.3,4.5,6.3
mayo 2014,9.9,4.9,5.9,5.0 ,5.9,6.3,7.7,4.8,5.7,5.5,5.2,5.8,4.4,6.4,6.3,5.9,4.1,5.9,6.7,5.8,3.9,5.4,4.6,4.9,5.9,4.8,5.1,5.1,4.2,4.7,4.6,4.1,4.5,4.1,9.3,6.6,5.4,5.7,5.2,4.5,5.2,7.6,10.1,10.0 ,4.4,4.0 ,5.3,4.2,4.6,6.4
abril 2014,9.9,5.0 ,5.9,5.1,5.9,6.3,7.6,4.7,5.6,5.4,5.2,5.7,4.4,6.4,6.4,5.9,4.2,6.0 ,6.7,5.8,3.9,5.4,4.6,4.9,5.8,4.9,5.1,5.1,4.2,4.7,4.7,4.1,4.4,4.1,9.3,6.4,5.4,5.7,5.2,4.5,5.3,7.5,10.0 ,9.9,4.4,4.0 ,5.2,4.3,4.6,6.4
marzo 2014,9.9,5.0 ,5.9,5.1,5.8,6.3,7.5,4.7,5.7,5.4,5.2,5.6,4.4,6.4,6.4,5.9,4.3,6.0 ,6.6,5.8,3.9,5.4,4.7,4.9,5.8,4.9,5.1,5.2,4.3,4.7,4.6,4.2,4.5,4.1,9.3,6.4,5.4,5.6,5.2,4.6,5.2,7.6,10.0 ,9.8,4.5,4.1,5.2,4.4,4.7,6.4
febrero 2014,9.9,5.0 ,5.9,5.1,5.9,6.3,7.5,4.8,5.7,5.5,5.2,5.7,4.4,6.4,6.3,5.9,4.2,6.0 ,6.6,5.8,3.9,5.4,4.8,4.9,5.7,4.9,5.1,5.2,4.3,4.7,4.6,4.2,4.5,4.1,9.2,6.5,5.5,5.8,5.2,4.7,5.2,7.6,10.0 ,10.0 ,4.6,4.1,5.2,4.4,4.6,6.4
enero 2014,9.8,5.0 ,6,5.1,6.0 ,6.3,7.5,4.8,5.7,5.5,5.3,5.8,4.4,6.4,6.3,6.0 ,4.2,6.0 ,6.7,5.8,4.0 ,5.4,4.9,5.0 ,5.7,5.0 ,5.1,5.2,4.3,4.8,4.6,4.1,4.6,4.2,9.1,6.5,5.5,5.8,5.2,4.7,5.2,7.6,10.0 ,10.1,4.6,4.1,5.2,4.3,4.7,6.4
diciembre 2013,9.8,5.0 ,6,5.1,5.9,6.3,7.5,4.9,5.7,5.6,5.3,5.7,4.4,6.4,6.4,6.0 ,4.2,6.1,6.7,5.9,4.0 ,5.4,4.9,5.0 ,5.7,5.0 ,5.2,5.2,4.4,4.8,4.7,4.2,4.7,4.2,9.2,6.4,5.5,5.9,5.2,4.7,5.2,7.6,10.0 ,10.2,4.6,4.1,5.2,4.3,4.7,6.4
noviembre 2013,9.9,5.0 ,6.1,5.3,6.0 ,6.4,7.5,4.9,5.8,5.6,5.3,5.7,4.5,6.4,6.5,6.0 ,4.3,6.2,6.7,6.0 ,4.1,5.6,4.9,5.0 ,5.8,5.2,5.2,5.3,4.4,4.9,4.7,4.2,4.8,4.3,9.2,6.5,5.5,6.1,5.3,4.7,5.3,7.7,9.9,10.2,4.6,4.2,5.3,4.3,4.6,6.3
octubre 2013,9.9,5.1,6.1,5.3,6.0 ,6.4,7.5,4.9,5.8,5.5,5.3,5.7,4.5,6.4,6.5,6.0 ,4.3,6.3,6.6,6.0 ,4.1,5.7,5.0 ,5.0 ,5.8,5.2,5.3,5.3,4.4,4.9,4.7,4.3,4.8,4.4,9.3,6.5,5.5,6.1,5.3,4.7,5.3,7.7,10.0 ,10.1,4.6,4.2,5.3,4.4,4.6,6.3
septiembre 2013,10.0 ,5.1,6.2,5.3,6.0 ,6.4,7.6,4.9,5.9,5.6,5.4,5.9,4.6,6.4,6.5,5.9,4.3,6.3,6.5,6.0 ,4.1,5.7,5.0 ,5.0 ,5.9,5.2,5.3,5.3,4.4,5.0 ,4.7,4.3,4.8,4.4,9.3,6.5,5.4,6.1,5.3,4.7,5.3,7.7,10.1,10.1,4.6,4.2,5.3,4.5,4.5,6.3
agosto 2013,10.0 ,5.1,6.2,5.3,6.0 ,6.4,7.6,4.9,5.9,5.8,5.4,5.9,4.7,6.4,6.5,5.9,4.3,6.3,6.6,6.0 ,4.1,5.7,5.0 ,5.0 ,5.9,5.2,5.3,5.3,4.4,5.1,4.7,4.3,4.8,4.4,9.3,6.6,5.4,5.9,5.3,4.7,5.3,7.8,10.1,10.1,4.6,4.3,5.3,4.5,4.5,6.3
julio 2013,9.9,5.1,6.2,5.3,6.0 ,6.5,7.7,5.0 ,5.9,5.8,5.4,5.9,4.7,6.5,6.5,5.9,4.3,6.3,6.6,6.0 ,4.1,5.7,5.0 ,5.0 ,5.9,5.2,5.4,5.3,4.4,5.0 ,4.7,4.3,4.8,4.4,9.3,6.6,5.4,5.9,5.3,4.8,5.4,7.7,10.1,10.2,4.6,4.3,5.3,4.5,4.6,6.4
junio 2013,9.9,5.1,6.2,5.3,6.1,6.5,7.7,5.0 ,5.9,5.8,5.4,5.8,4.7,6.4,6.5,5.8,4.2,6.3,6.6,6.0 ,4.1,5.7,5.0 ,5.0 ,5.8,5.1,5.3,5.3,4.5,5.1,4.7,4.3,4.9,4.4,9.3,6.6,5.4,6.0 ,5.3,4.8,5.4,7.7,10.1,10.2,4.6,4.2,5.3,4.5,4.8,6.4
mayo 2013,9.9,5.2,6.2,5.3,6.1,6.5,7.5,4.9,5.9,5.9,5.4,5.7,4.6,6.4,6.5,5.7,4.2,6.2,6.6,6.0 ,4.1,5.7,5.0 ,4.9,5.6,5.1,5.3,5.3,4.6,5.1,4.7,4.2,4.9,4.4,9.3,6.7,5.4,6.0 ,5.3,4.8,5.4,7.7,10.1,10.2,4.6,4.2,5.3,4.5,4.8,6.4
abril 2013,9.9,5.1,6.2,5.4,6.1,6.5,7.5,4.9,5.9,5.9,5.4,5.6,4.6,6.4,6.6,5.9,4.3,6.3,6.6,6.0 ,4.2,5.7,5.0 ,4.9,5.7,5.1,5.3,5.3,4.7,5.0 ,4.8,4.3,5.0 ,4.4,9.4,6.8,5.4,6.0 ,5.3,4.8,5.4,7.7,10.1,10.2,4.6,4.3,5.3,4.5,4.6,6.4
marzo 2013,10.0 ,5.2,6.3,5.5,6.2,6.6,7.4,5.0 ,5.9,5.9,5.4,5.6,4.7,6.4,6.7,6.1,4.4,6.3,6.7,6.0 ,4.2,5.8,5.0 ,4.9,5.7,5.1,5.3,5.3,4.7,5.1,5.1,4.4,5.0 ,4.5,9.5,6.9,5.5,6.1,5.4,4.8,5.4,7.7,10.0 ,10.3,4.6,4.4,5.3,4.5,4.5,6.5
febrero 2013,10.0 ,5.3,6.4,5.6,6.3,6.6,7.5,5.0 ,6.0 ,6.0 ,5.5,5.7,4.7,6.5,6.9,6.1,4.4,6.4,6.8,6.0 ,4.3,5.9,5.0 ,5.0 ,5.8,5.1,5.3,5.4,4.6,5.2,5.3,4.4,5.1,4.5,9.6,7.0 ,5.6,6.2,5.4,4.8,5.4,8.0 ,10.1,10.4,4.6,4.4,5.4,4.5,4.5,6.6
enero 2013,10.0 ,5.3,6.4,5.7,6.4,6.7,7.5,5.0 ,6.1,6.0 ,5.5,5.7,4.7,6.5,7.0 ,6.1,4.4,6.5,6.9,6.1,4.3,6.0 ,5.0 ,5.0 ,5.9,5.1,5.3,5.5,4.6,5.1,5.2,4.6,5.1,4.6,9.6,6.9,5.7,6.2,5.4,4.9,5.4,7.9,10.3,10.5,4.7,4.4,5.3,4.5,4.6,6.5
diciembre 2012,10.1,5.3,6.4,5.7,6.4,6.7,7.8,5.0 ,6.2,6.1,5.5,5.9,4.7,6.5,7.1,6.0 ,4.4,6.5,6.9,6.2,4.3,5.9,5.0 ,5.1,5.9,5.2,5.3,5.4,4.6,5.2,5.1,4.7,5.2,4.6,9.7,6.9,5.7,6.1,5.4,4.9,5.5,8.0 ,10.2,10.7,4.7,4.4,5.4,4.7,4.6,6.5
noviembre 2012,10.3,5.4,6.4,5.8,6.5,6.9,7.9,5.0 ,6.2,6.1,5.6,5.9,4.8,6.6,7.2,6.0 ,4.5,6.5,7.0 ,6.2,4.4,6.0 ,5.1,5.1,6.1,5.3,5.2,5.5,4.7,5.2,4.9,4.8,5.2,4.7,9.8,7.0 ,5.7,6.1,5.5,4.9,5.6,8.2,10.4,10.8,4.8,4.4,5.4,4.8,4.6,6.6
octubre 2012,10.4,5.4,6.5,5.8,6.6,7.0 ,7.9,5.0 ,6.2,6.1,5.6,6.0 ,4.8,6.6,7.3,6.1,4.4,6.6,7.0 ,6.2,4.4,6.0 ,5.2,5.2,6.2,5.3,5.3,5.6,4.6,5.3,4.9,4.8,5.2,4.8,9.9,7.1,5.8,6.1,5.4,4.9,5.6,8.4,10.5,11.0 ,4.8,4.4,5.5,4.7,4.8,6.6
septiembre 2012,10.5,5.5,6.5,5.9,6.7,7.0 ,8.1,5.0 ,6.3,6.1,5.7,6.1,4.8,6.6,7.2,6.0 ,4.5,6.7,7.1,6.3,4.4,6.1,5.1,5.2,6.3,5.3,5.4,5.6,4.6,5.3,5.0 ,4.8,5.2,4.8,10.0 ,7.2,5.9,6.2,5.5,5.0 ,5.6,8.3,10.6,11.1,4.9,4.5,5.6,4.8,4.9,6.7
agosto 2012,10.6,5.6,6.6,5.9,6.8,7.1,8.1,5.1,6.4,6.2,5.7,6.1,4.9,6.7,7.3,6.0 ,4.6,6.7,7.1,6.3,4.6,6.1,5.3,5.4,6.4,5.4,5.7,5.6,4.5,5.3,5.1,4.8,5.2,4.9,10.0 ,7.2,6.2,6.2,5.5,5.1,5.7,8.3,10.7,11.1,4.9,4.5,5.7,5.0 ,4.9,6.8
julio 2012,10.6,5.6,6.7,5.9,6.8,7.3,8.2,5.1,6.5,6.3,5.7,6.3,4.9,6.7,7.4,6.1,4.7,6.8,7.2,6.3,4.6,6.3,5.3,5.3,6.4,5.3,5.5,5.6,4.6,5.4,5.1,4.8,5.3,4.9,10.0 ,7.2,6.2,6.3,5.6,5.1,5.7,8.2,10.7,11.2,4.9,4.6,5.8,4.9,5.1,6.8
junio 2012,10.6,5.6,6.7,5.9,6.8,7.3,8.2,5.1,6.5,6.3,5.7,6.3,5.0 ,6.7,7.4,6.1,4.7,6.8,7.1,6.3,4.5,6.3,5.3,5.2,6.4,5.3,5.4,5.6,4.6,5.5,5.0 ,4.6,5.2,4.8,10.0 ,7.3,6.2,6.3,5.6,5.1,5.8,8.2,10.7,11.3,5.0 ,4.6,5.8,4.9,5.2,7.0 
mayo 2012,10.6,5.6,6.8,6.0 ,6.8,7.4,8.1,5.1,6.6,6.4,5.7,6.2,5.0 ,6.8,7.4,6.2,4.6,7.0 ,7.1,6.3,4.6,6.3,5.3,5.2,6.2,5.3,5.4,5.6,4.5,5.6,5.1,4.6,5.3,4.9,10.0 ,7.4,6.3,6.3,5.6,5.2,5.8,8.5,10.6,11.2,5.0 ,4.6,5.9,4.9,5.2,7.0 
abril 2012,10.6,5.7,6.7,6.1,6.8,7.5,8.1,5.1,6.5,6.3,5.6,6.1,4.8,6.7,7.4,6.2,4.7,7.1,7.1,6.4,4.5,6.3,5.3,5.3,6.1,5.3,5.4,5.6,4.7,5.6,5.1,4.6,5.5,4.9,10.0 ,7.5,6.3,6.3,5.6,5.3,5.7,8.6,10.8,11.3,5.1,4.6,5.9,4.9,5.3,7.0 
marzo 2012,10.7,5.7,6.7,6.0 ,6.9,7.5,8.1,5.2,6.6,6.3,5.7,6.2,4.8,6.7,7.5,6.3,4.7,7.1,7.1,6.5,4.4,6.3,5.2,5.2,6.0 ,5.4,5.5,5.7,5.0 ,5.6,5.1,4.6,5.5,4.9,10.2,7.4,6.2,6.4,5.6,5.2,5.7,8.6,10.9,11.3,5.0 ,4.6,5.9,4.9,5.2,7.0 
febrero 2012,10.7,5.5,6.7,5.9,7.0 ,7.4,8.1,5.2,6.6,6.3,5.8,6.3,4.8,6.7,7.5,6.4,4.9,7.2,7.1,6.6,4.5,6.2,5.3,5.2,6.0 ,5.4,5.4,5.7,4.9,5.6,5.2,4.7,5.5,4.9,10.3,7.4,6.4,6.5,5.6,5.2,5.7,8.6,11.0 ,11.4,4.9,4.7,5.9,4.8,5.1,7.0 
enero 2012,10.7,5.6,6.8,5.8,7.0 ,7.4,8.2,5.2,6.6,6.3,5.7,6.4,4.8,6.8,7.6,6.5,4.9,7.2,7.1,6.6,4.5,6.2,5.3,5.2,6.0 ,5.3,5.4,5.7,4.9,5.5,5.2,4.9,5.5,4.9,10.3,7.4,6.5,6.5,5.6,5.3,5.8,8.6,11.3,11.5,4.8,4.7,5.9,4.8,5.0 ,7.0 
diciembre 2011,10.8,5.6,6.8,5.9,7.0 ,7.3,8.2,5.2,6.6,6.3,5.8,6.4,4.7,6.9,7.7,6.6,5.0 ,7.2,7.1,6.6,4.5,6.1,5.4,5.3,6.0 ,5.3,5.4,5.7,4.9,5.6,5.2,4.8,5.5,4.9,10.3,7.3,6.4,6.5,5.6,5.3,5.8,8.7,11.2,11.6,4.9,4.7,5.8,4.8,4.9,6.9
noviembre 2011,10.9,5.7,6.8,5.8,7.0 ,7.3,8.2,5.3,6.8,6.4,5.9,6.5,4.7,6.9,7.7,6.7,5.0 ,7.2,7.2,6.6,4.4,6.1,5.4,5.3,6.1,5.4,5.4,5.8,5.1,5.5,5.2,4.7,5.6,4.9,10.3,7.2,5.9,6.6,5.5,5.4,5.8,8.5,11.2,11.5,4.8,4.7,5.8,4.9,4.9,6.9
octubre 2011,11.1,5.6,6.8,5.7,7.0 ,7.3,8.3,5.3,6.8,6.4,5.9,6.7,4.7,6.9,7.7,6.5,5.0 ,7.3,7.2,6.7,4.5,6.3,5.4,5.3,6.0 ,5.4,5.6,5.8,5.1,5.6,5.2,4.7,5.7,4.9,10.4,7.2,6.0 ,6.6,5.6,5.4,5.8,8.6,11.1,11.5,4.9,4.7,5.8,5.0 ,4.9,7.0 
septiembre 2011,11.0 ,5.5,6.9,5.8,7.0 ,7.4,8.4,5.3,7.0 ,6.5,5.9,7.1,4.8,6.9,7.7,6.4,5.1,7.3,7.1,6.6,4.6,6.5,5.3,5.5,6.2,5.5,5.6,5.7,5.1,5.7,5.1,4.7,5.6,5.0 ,10.3,7.3,6.1,6.5,5.6,5.4,5.8,8.5,10.9,11.5,5.0 ,4.7,5.8,5.2,4.8,7.0 
agosto 2011,11.0 ,5.6,7.1,5.7,7.0 ,7.3,8.5,5.3,6.9,6.5,5.9,7.2,4.8,7.0 ,7.8,6.4,5.2,7.3,7.2,6.7,4.7,6.4,5.3,5.5,6.2,5.5,5.7,5.7,5.1,5.7,5.2,4.6,5.6,5.0 ,10.3,7.6,6.2,6.6,5.7,5.4,5.8,8.8,10.8,11.4,5.1,4.6,5.9,5.2,4.9,7.1
Salario media,2408.23,1995.72,2341.76,1987.39,2182.91,2471.92,2124.98,1980,1980,1980,1980,1980,1980,1980,1980,2162.35,2162.35,2162.35,1907.78,1907.78,2142.4,2142.4,2142.4,2142.4,2142.4,2142.4,2142.4,2142.4,2142.4,2089,2089,2089,2089,2089,2379.25,2379.25,2379.25,2379.25,2085.52,2085.52,2085.52,2626.86,2626.86,2626.86,1928.51,1928.51,2097.56,2097.56,2097.56,2097.56
Precio compra m2,2945,1056,1361,1235,1454,1462,3169,1063,1548,1232,1349,1235,847,2374,1410,1379,901,1348,1934,1854,862,1185,996,1116,1320,1082,994,1280,968,1102,768,798,1048,793,2739,2071,1246,1379,1680,1100,1269,2158,3181,2619,938,927,1313,993,1166,1547
Tasa Paro ,13.5,15.4,13.5,10.4,11.8,11.7,17.3,21.2,24.9,23.8,24.8,27.2,22.8,19.3,22.4,12.5,9.3,12.9,25.9,24.5,16.1,9.4,12.1,9.6,15.8,8.2,7.7,11.4,11.5,17.4,17.5,12.7,14.0,19.9,13.7,13.3,11.0,17.5,14.7,14.1,14.7,10.0,7.0,11.9,22.9,18.5,11.6,8.3,10.3,13.3
Coste de vida,115.7,87.8,98.1,94.5,98.6,97.9,102.8,94.5,94.5,94.5,94.5,94.5,94.5,94.5,94.5,98.1,98.1,98.1,96.6,96.6,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,89.8,89.8,89.8,89.8,89.8,107.6,107.6,107.6,107.6,91.3,91.3,91.3,107.1,107.1,107.1,86.4,86.4,93.8,93.8,93.8,93.8
Precio medio Obra Nueva INE 2016,79097,82108,79552,64394,76523,60907,90210,94078,94078,94078,94078,94078,94078,94078,94078,65895,65895,65895,86218,86218,74834,74834,74834,74834,74834,74834,74834,74834,74834,74054,74054,74054,74054,74054,73964,73964,73964,73964,82496,82496,82496,75937,75937,75937,87194,87194,84340,84340,84340,84340
Precio Medio 2 mano INE 2016,64674,6684,63398,56758,61731,49198,70996,69007,69007,69007,69007,69007,69007,69007,69007,51535,51535,51535,69177,69177,59002,59002,59002,59002,59002,59002,59002,59002,59002,61805,61805,61805,61805,61805,59505,59505,59505,59505,65742,65742,65742,55806,55806,55806,68035,68035,66164,66164,66164,66164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,