Tipo de jornada	Comunidades y Ciudades Autonómas	Decil	Periodo	Total
Jornada a tiempo completo	Total Nacional	Total decil	2019	2.207,31
Jornada a tiempo completo	Total Nacional	1	2019	745,66
Jornada a tiempo completo	Total Nacional	2	2019	1.020,14
Jornada a tiempo completo	Total Nacional	3	2019	1.222,98
Jornada a tiempo completo	Total Nacional	4	2019	1.418,56
Jornada a tiempo completo	Total Nacional	5	2019	1.595,45
Jornada a tiempo completo	Total Nacional	6	2019	1.793,50
Jornada a tiempo completo	Total Nacional	7	2019	2.058,53
Jornada a tiempo completo	Total Nacional	8	2019	2.446,20
Jornada a tiempo completo	Total Nacional	9	2019	3.036,80
Jornada a tiempo completo	Total Nacional	10	2019	4.725,47
Jornada a tiempo completo	01 Andalucía	Total decil	2019	1.980,07
Jornada a tiempo completo	01 Andalucía	1	2019	750,64
Jornada a tiempo completo	01 Andalucía	2	2019	1.008,25
Jornada a tiempo completo	01 Andalucía	3	2019	1.222,25
Jornada a tiempo completo	01 Andalucía	4	2019	1.413,94
Jornada a tiempo completo	01 Andalucía	5	2019	1.597,40
Jornada a tiempo completo	01 Andalucía	6	2019	1.794,59
Jornada a tiempo completo	01 Andalucía	7	2019	2.063,70
Jornada a tiempo completo	01 Andalucía	8	2019	2.444,29
Jornada a tiempo completo	01 Andalucía	9	2019	3.020,44
Jornada a tiempo completo	01 Andalucía	10	2019	4.479,56
Jornada a tiempo completo	02 Aragón	Total decil	2019	2.162,35
Jornada a tiempo completo	02 Aragón	1	2019	753,94
Jornada a tiempo completo	02 Aragón	2	2019	1.041,25
Jornada a tiempo completo	02 Aragón	3	2019	1.221,85
Jornada a tiempo completo	02 Aragón	4	2019	1.427,27
Jornada a tiempo completo	02 Aragón	5	2019	1.594,26
Jornada a tiempo completo	02 Aragón	6	2019	1.788,57
Jornada a tiempo completo	02 Aragón	7	2019	2.049,89
Jornada a tiempo completo	02 Aragón	8	2019	2.467,57
Jornada a tiempo completo	02 Aragón	9	2019	2.997,01
Jornada a tiempo completo	02 Aragón	10	2019	4.483,23
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2019	2.341,76
Jornada a tiempo completo	03 Asturias, Principado de	1	2019	713,10
Jornada a tiempo completo	03 Asturias, Principado de	2	2019	1.017,54
Jornada a tiempo completo	03 Asturias, Principado de	3	2019	1.232,63
Jornada a tiempo completo	03 Asturias, Principado de	4	2019	1.410,73
Jornada a tiempo completo	03 Asturias, Principado de	5	2019	1.587,75
Jornada a tiempo completo	03 Asturias, Principado de	6	2019	1.793,30
Jornada a tiempo completo	03 Asturias, Principado de	7	2019	2.067,60
Jornada a tiempo completo	03 Asturias, Principado de	8	2019	2.451,26
Jornada a tiempo completo	03 Asturias, Principado de	9	2019	3.038,20
Jornada a tiempo completo	03 Asturias, Principado de	10	2019	4.497,33
Jornada a tiempo completo	04 Balears, Illes	Total decil	2019	2.124,98
Jornada a tiempo completo	04 Balears, Illes	1	2019	766,04
Jornada a tiempo completo	04 Balears, Illes	2	2019	1.024,42
Jornada a tiempo completo	04 Balears, Illes	3	2019	1.241,72
Jornada a tiempo completo	04 Balears, Illes	4	2019	1.419,23
Jornada a tiempo completo	04 Balears, Illes	5	2019	1.603,34
Jornada a tiempo completo	04 Balears, Illes	6	2019	1.796,62
Jornada a tiempo completo	04 Balears, Illes	7	2019	2.065,23
Jornada a tiempo completo	04 Balears, Illes	8	2019	2.469,36
Jornada a tiempo completo	04 Balears, Illes	9	2019	3.034,09
Jornada a tiempo completo	04 Balears, Illes	10	2019	5.077,24
Jornada a tiempo completo	05 Canarias	Total decil	2019	1.907,78
Jornada a tiempo completo	05 Canarias	1	2019	763,51
Jornada a tiempo completo	05 Canarias	2	2019	1.035,85
Jornada a tiempo completo	05 Canarias	3	2019	1.213,86
Jornada a tiempo completo	05 Canarias	4	2019	1.412,48
Jornada a tiempo completo	05 Canarias	5	2019	1.598,46
Jornada a tiempo completo	05 Canarias	6	2019	1.782,82
Jornada a tiempo completo	05 Canarias	7	2019	2.069,47
Jornada a tiempo completo	05 Canarias	8	2019	2.439,54
Jornada a tiempo completo	05 Canarias	9	2019	3.049,96
Jornada a tiempo completo	05 Canarias	10	2019	4.634,20
Jornada a tiempo completo	06 Cantabria	Total decil	2019	2.182,91
Jornada a tiempo completo	06 Cantabria	1	2019	711,56
Jornada a tiempo completo	06 Cantabria	2	2019	1.024,31
Jornada a tiempo completo	06 Cantabria	3	2019	1.219,43
Jornada a tiempo completo	06 Cantabria	4	2019	1.424,89
Jornada a tiempo completo	06 Cantabria	5	2019	1.603,21
Jornada a tiempo completo	06 Cantabria	6	2019	1.780,56
Jornada a tiempo completo	06 Cantabria	7	2019	2.061,85
Jornada a tiempo completo	06 Cantabria	8	2019	2.412,94
Jornada a tiempo completo	06 Cantabria	9	2019	3.021,10
Jornada a tiempo completo	06 Cantabria	10	2019	4.447,43
Jornada a tiempo completo	07 Castilla y León	Total decil	2019	2.142,40
Jornada a tiempo completo	07 Castilla y León	1	2019	759,59
Jornada a tiempo completo	07 Castilla y León	2	2019	1.027,03
Jornada a tiempo completo	07 Castilla y León	3	2019	1.221,97
Jornada a tiempo completo	07 Castilla y León	4	2019	1.425,14
Jornada a tiempo completo	07 Castilla y León	5	2019	1.595,21
Jornada a tiempo completo	07 Castilla y León	6	2019	1.795,05
Jornada a tiempo completo	07 Castilla y León	7	2019	2.051,85
Jornada a tiempo completo	07 Castilla y León	8	2019	2.455,40
Jornada a tiempo completo	07 Castilla y León	9	2019	3.026,11
Jornada a tiempo completo	07 Castilla y León	10	2019	4.770,41
Jornada a tiempo completo	08 Castilla - La Mancha	Total decil	2019	2.089,00
Jornada a tiempo completo	08 Castilla - La Mancha	1	2019	753,88
Jornada a tiempo completo	08 Castilla - La Mancha	2	2019	1.025,62
Jornada a tiempo completo	08 Castilla - La Mancha	3	2019	1.230,23
Jornada a tiempo completo	08 Castilla - La Mancha	4	2019	1.422,54
Jornada a tiempo completo	08 Castilla - La Mancha	5	2019	1.595,46
Jornada a tiempo completo	08 Castilla - La Mancha	6	2019	1.794,02
Jornada a tiempo completo	08 Castilla - La Mancha	7	2019	2.055,42
Jornada a tiempo completo	08 Castilla - La Mancha	8	2019	2.449,59
Jornada a tiempo completo	08 Castilla - La Mancha	9	2019	3.028,45
Jornada a tiempo completo	08 Castilla - La Mancha	10	2019	4.708,81
Jornada a tiempo completo	09 Cataluña	Total decil	2019	2.379,25
Jornada a tiempo completo	09 Cataluña	1	2019	745,72
Jornada a tiempo completo	09 Cataluña	2	2019	1.022,70
Jornada a tiempo completo	09 Cataluña	3	2019	1.221,06
Jornada a tiempo completo	09 Cataluña	4	2019	1.424,71
Jornada a tiempo completo	09 Cataluña	5	2019	1.591,87
Jornada a tiempo completo	09 Cataluña	6	2019	1.800,36
Jornada a tiempo completo	09 Cataluña	7	2019	2.054,29
Jornada a tiempo completo	09 Cataluña	8	2019	2.444,67
Jornada a tiempo completo	09 Cataluña	9	2019	3.035,90
Jornada a tiempo completo	09 Cataluña	10	2019	4.764,68
Jornada a tiempo completo	10 Comunitat Valenciana	Total decil	2019	2.085,52
Jornada a tiempo completo	10 Comunitat Valenciana	1	2019	737,01
Jornada a tiempo completo	10 Comunitat Valenciana	2	2019	1.007,68
Jornada a tiempo completo	10 Comunitat Valenciana	3	2019	1.218,25
Jornada a tiempo completo	10 Comunitat Valenciana	4	2019	1.419,77
Jornada a tiempo completo	10 Comunitat Valenciana	5	2019	1.593,47
Jornada a tiempo completo	10 Comunitat Valenciana	6	2019	1.785,54
Jornada a tiempo completo	10 Comunitat Valenciana	7	2019	2.056,38
Jornada a tiempo completo	10 Comunitat Valenciana	8	2019	2.434,74
Jornada a tiempo completo	10 Comunitat Valenciana	9	2019	3.034,54
Jornada a tiempo completo	10 Comunitat Valenciana	10	2019	4.760,16
Jornada a tiempo completo	11 Extremadura	Total decil	2019	1.928,51
Jornada a tiempo completo	11 Extremadura	1	2019	736,20
Jornada a tiempo completo	11 Extremadura	2	2019	1.029,62
Jornada a tiempo completo	11 Extremadura	3	2019	1.230,26
Jornada a tiempo completo	11 Extremadura	4	2019	1.416,54
Jornada a tiempo completo	11 Extremadura	5	2019	1.586,80
Jornada a tiempo completo	11 Extremadura	6	2019	1.790,23
Jornada a tiempo completo	11 Extremadura	7	2019	2.062,79
Jornada a tiempo completo	11 Extremadura	8	2019	2.469,04
Jornada a tiempo completo	11 Extremadura	9	2019	3.001,20
Jornada a tiempo completo	11 Extremadura	10	2019	4.615,13
Jornada a tiempo completo	12 Galicia	Total decil	2019	2.097,56
Jornada a tiempo completo	12 Galicia	1	2019	733,19
Jornada a tiempo completo	12 Galicia	2	2019	1.025,23
Jornada a tiempo completo	12 Galicia	3	2019	1.221,95
Jornada a tiempo completo	12 Galicia	4	2019	1.419,91
Jornada a tiempo completo	12 Galicia	5	2019	1.595,82
Jornada a tiempo completo	12 Galicia	6	2019	1.791,55
Jornada a tiempo completo	12 Galicia	7	2019	2.052,24
Jornada a tiempo completo	12 Galicia	8	2019	2.445,55
Jornada a tiempo completo	12 Galicia	9	2019	2.995,84
Jornada a tiempo completo	12 Galicia	10	2019	4.651,31
Jornada a tiempo completo	13 Madrid, Comunidad de	Total decil	2019	2.408,23
Jornada a tiempo completo	13 Madrid, Comunidad de	1	2019	735,75
Jornada a tiempo completo	13 Madrid, Comunidad de	2	2019	1.024,02
Jornada a tiempo completo	13 Madrid, Comunidad de	3	2019	1.226,51
Jornada a tiempo completo	13 Madrid, Comunidad de	4	2019	1.412,15
Jornada a tiempo completo	13 Madrid, Comunidad de	5	2019	1.595,09
Jornada a tiempo completo	13 Madrid, Comunidad de	6	2019	1.796,29
Jornada a tiempo completo	13 Madrid, Comunidad de	7	2019	2.060,57
Jornada a tiempo completo	13 Madrid, Comunidad de	8	2019	2.450,20
Jornada a tiempo completo	13 Madrid, Comunidad de	9	2019	3.054,71
Jornada a tiempo completo	13 Madrid, Comunidad de	10	2019	4.911,42
Jornada a tiempo completo	14 Murcia, Región de	Total decil	2019	1.995,72
Jornada a tiempo completo	14 Murcia, Región de	1	2019	736,68
Jornada a tiempo completo	14 Murcia, Región de	2	2019	1.019,45
Jornada a tiempo completo	14 Murcia, Región de	3	2019	1.224,35
Jornada a tiempo completo	14 Murcia, Región de	4	2019	1.418,99
Jornada a tiempo completo	14 Murcia, Región de	5	2019	1.591,46
Jornada a tiempo completo	14 Murcia, Región de	6	2019	1.790,62
Jornada a tiempo completo	14 Murcia, Región de	7	2019	2.057,97
Jornada a tiempo completo	14 Murcia, Región de	8	2019	2.452,47
Jornada a tiempo completo	14 Murcia, Región de	9	2019	3.065,54
Jornada a tiempo completo	14 Murcia, Región de	10	2019	4.457,54
Jornada a tiempo completo	15 Navarra, Comunidad Foral de	Total decil	2019	2.471,92
Jornada a tiempo completo	15 Navarra, Comunidad Foral de	1	2019	..
Jornada a tiempo completo	15 Navarra, Comunidad Foral de	2	2019	968,27
Jornada a tiempo completo	15 Navarra, Comunidad Foral de	3	2019	1.221,46
Jornada a tiempo completo	15 Navarra, Comunidad Foral de	4	2019	1.422,24
Jornada a tiempo completo	15 Navarra, Comunidad Foral de	5	2019	1.604,51
Jornada a tiempo completo	15 Navarra, Comunidad Foral de	6	2019	1.791,33
Jornada a tiempo completo	15 Navarra, Comunidad Foral de	7	2019	2.062,31
Jornada a tiempo completo	15 Navarra, Comunidad Foral de	8	2019	2.436,82
Jornada a tiempo completo	15 Navarra, Comunidad Foral de	9	2019	3.038,17
Jornada a tiempo completo	15 Navarra, Comunidad Foral de	10	2019	4.543,18
Jornada a tiempo completo	16 País Vasco	Total decil	2019	2.626,86
Jornada a tiempo completo	16 País Vasco	1	2019	755,82
Jornada a tiempo completo	16 País Vasco	2	2019	1.033,72
Jornada a tiempo completo	16 País Vasco	3	2019	1.221,94
Jornada a tiempo completo	16 País Vasco	4	2019	1.424,14
Jornada a tiempo completo	16 País Vasco	5	2019	1.603,83
Jornada a tiempo completo	16 País Vasco	6	2019	1.796,19
Jornada a tiempo completo	16 País Vasco	7	2019	2.063,08
Jornada a tiempo completo	16 País Vasco	8	2019	2.434,03
Jornada a tiempo completo	16 País Vasco	9	2019	3.075,58
Jornada a tiempo completo	16 País Vasco	10	2019	4.666,42
Jornada a tiempo completo	17 Rioja, La	Total decil	2019	2.204,48
Jornada a tiempo completo	17 Rioja, La	1	2019	799,83
Jornada a tiempo completo	17 Rioja, La	2	2019	1.039,76
Jornada a tiempo completo	17 Rioja, La	3	2019	1.215,29
Jornada a tiempo completo	17 Rioja, La	4	2019	1.436,75
Jornada a tiempo completo	17 Rioja, La	5	2019	1.608,46
Jornada a tiempo completo	17 Rioja, La	6	2019	1.776,89
Jornada a tiempo completo	17 Rioja, La	7	2019	2.055,59
Jornada a tiempo completo	17 Rioja, La	8	2019	2.415,96
Jornada a tiempo completo	17 Rioja, La	9	2019	3.027,34
Jornada a tiempo completo	17 Rioja, La	10	2019	4.963,91
Jornada a tiempo completo	18 Ceuta	Total decil	2019	2.577,35
Jornada a tiempo completo	18 Ceuta	1	2019	753,75
Jornada a tiempo completo	18 Ceuta	2	2019	1.002,36
Jornada a tiempo completo	18 Ceuta	3	2019	1.218,86
Jornada a tiempo completo	18 Ceuta	4	2019	1.429,47
Jornada a tiempo completo	18 Ceuta	5	2019	1.583,02
Jornada a tiempo completo	18 Ceuta	6	2019	1.776,64
Jornada a tiempo completo	18 Ceuta	7	2019	2.052,96
Jornada a tiempo completo	18 Ceuta	8	2019	2.377,14
Jornada a tiempo completo	18 Ceuta	9	2019	3.063,32
Jornada a tiempo completo	18 Ceuta	10	2019	4.293,71
Jornada a tiempo completo	19 Melilla	Total decil	2019	2.593,97
Jornada a tiempo completo	19 Melilla	1	2019	766,06
Jornada a tiempo completo	19 Melilla	2	2019	1.008,23
Jornada a tiempo completo	19 Melilla	3	2019	1.221,23
Jornada a tiempo completo	19 Melilla	4	2019	1.391,79
Jornada a tiempo completo	19 Melilla	5	2019	1.631,23
Jornada a tiempo completo	19 Melilla	6	2019	1.818,69
Jornada a tiempo completo	19 Melilla	7	2019	2.073,47
Jornada a tiempo completo	19 Melilla	8	2019	2.461,30
Jornada a tiempo completo	19 Melilla	9	2019	3.000,72
Jornada a tiempo completo	19 Melilla	10	2019	4.294,13
