,Valor total Transaciones,Numero Transaciones
Almeria,269720.3,2863
Cadiz,472353.4,3619
Cordoba,214228.8,2059
Granada,326818,3017
Huelva,179776.3,1754
Jaen,113961,1469
Malaga,1731401.6,7399
Sevilla,695288.7,5575
Huesca,66639.8,642
Teruel,29928.4,370
Zaragoza,396267.2,2913
Asturias,298095,2868
Baleares,998374.8,3079
Las Palmas,457774.7,2913
Tenerife,381723.8,2504
Cantabria,244690.6,1781
Avila,42690.4,545
Burgos,126926.6,1199
Leon,80238,918
Palencia,40896.7,488
Salamanca,82636.4,795
Segovia,54450,500
Soria,18057.7,211
Valladolid,170512.2,1491
Zamora,34050,471
Albacete,95693.3,989
Ciudad Real,87443.7,1250
Cuenca,36299.6,497
Guadalajara,117149.1,1032
Toledo,193232.6,2299
Barcelona,3270302.4,14615
Girona,531243.2,2857
Lleida,134509.6,1273
Tarragona,431510.4,3474
Alicante,1210264.5,8887
Castellon,227582.4,2609
Valencia,1042390.5,9204
Badajoz,105107.1,1520
Caceres,145302.7,971
Coruña,275133.6,2221
Lugo,79707.2,815
Ourense,44642.9,471
Pontevedra,224684.3,1680
Madrid,5052244,19733
Murcia,478356.2,4933
Navarra,258960.2,1684
Alava,147491.3,853
Guipuzkoa,420213.9,1736
Bizkaia,616646.4,3014
Rioja,102218.7,1045