provincias;junio 2021;mayo 2021;abril 2021;marzo 2021;febrero 2021;enero 2021;diciembre 2020;noviembre 2020;octubre 2020;septiembre 2020;agosto 2020;julio 2020;junio 2020;mayo 2020;abril 2020;marzo 2020;febrero 2020;enero 2020;diciembre 2019;noviembre 2019;octubre 2019;septiembre 2019;agosto 2019;julio 2019;junio 2019;mayo 2019;abril 2019;marzo 2019;febrero 2019;enero 2019;diciembre 2018;noviembre 2018;octubre 2018;septiembre 2018;agosto 2018;julio 2018;junio 2018;mayo 2018;abril 2018;marzo 2018;febrero 2018;enero 2018;diciembre 2017;noviembre 2017;octubre 2017;septiembre 2017;agosto 2017;julio 2017;junio 2017;mayo 2017;abril 2017;marzo 2017;febrero 2017;enero 2017;diciembre 2016;noviembre 2016;octubre 2016;septiembre 2016;agosto 2016;julio 2016;junio 2016;mayo 2016;abril 2016;marzo 2016;febrero 2016;enero 2016;diciembre 2015;noviembre 2015;octubre 2015;septiembre 2015;agosto 2015;julio 2015;junio 2015;mayo 2015;abril 2015;marzo 2015;febrero 2015;enero 2015;diciembre 2014;noviembre 2014;octubre 2014;septiembre 2014;agosto 2014;julio 2014;junio 2014;mayo 2014;abril 2014;marzo 2014;febrero 2014;enero 2014;diciembre 2013;noviembre 2013;octubre 2013;septiembre 2013;agosto 2013;julio 2013;junio 2013;mayo 2013;abril 2013;marzo 2013;febrero 2013;enero 2013;diciembre 2012;noviembre 2012;octubre 2012;septiembre 2012;agosto 2012;julio 2012;junio 2012;mayo 2012;abril 2012;marzo 2012;febrero 2012;enero 2012;diciembre 2011;noviembre 2011;octubre 2011;septiembre 2011;agosto 2011;Salario media;Precio compra m2;Tasa Paro ;Coste de vida;Precio medio Obra Nueva INE 2016;Precio Medio 2 mano INE 2016;VM
Madrid;13.7;13.7;13.7;13.8;13.9;14.0;14.2;14.5;14.7;14.9;15.0;15.1;15.3;15.4;15.1;15.0;15.0;14.8;14.7;14.8;15.0;15.1;14.9;14.7;14.8;14.8;14.7;14.5;14.5;14.2;14.2;14.3;14.5;14.4;14.4;14.2;14.1;13.9;13.8;13.5;13.4;13.2;13.0;13.0;13.0;13.0;12.9;12.7;12.4;12.3;12.2;12.2;12.1;11.9;11.7;11.7;11.6;11.6;11.5;11.5;11.2;11.2;11.0;10.9;10.9;10.8;10.7;10.7;10.7;10.8;10.6;10.5;10.4;10.3;10.3;10.2;10.2;10.0;10.0;10.1;10.2;10.2;10.0;10.0;10.0;9.9;9.9;9.9;9.9;9.8;9.8;9.9;9.9;10.0;10.0;9.9;9.9;9.9;9.9;10.0;10.0;10.0;10.1;10.3;10.4;10.5;10.6;10.6;10.6;10.6;10.6;10.7;10.7;10.7;10.8;10.9;11.1;11.0;11.0;2408.23;2945.0;13.5;115.7;79097.0;64674.0;256030.2
Murcia;6.8;6.7;6.6;6.5;6.5;6.4;6.4;6.4;6.6;6.7;6.8;6.7;6.6;6.4;6.2;6.1;6.0;6.1;6.1;6.2;6.3;6.4;6.5;6.4;6.3;6.1;5.9;5.8;5.7;5.6;5.7;5.8;6.0;6.2;6.2;6.0;5.8;5.7;5.6;5.6;5.5;5.5;5.3;5.4;5.5;5.6;5.6;5.5;5.4;5.2;5.1;5.1;5.0;5.0;4.9;5.0;5.1;5.2;5.3;5.2;5.2;5.1;5.0;5.0;4.9;4.9;4.9;4.9;4.9;4.9;5.0;4.9;4.9;4.8;4.8;4.8;4.8;4.8;4.8;4.9;4.9;4.9;4.9;4.9;4.9;4.9;5.0;5.0;5.0;5.0;5.0;5.0;5.1;5.1;5.1;5.1;5.1;5.2;5.1;5.2;5.3;5.3;5.3;5.4;5.4;5.5;5.6;5.6;5.6;5.6;5.7;5.7;5.5;5.6;5.6;5.7;5.6;5.5;5.6;1995.72;1056.0;15.4;87.8;82108.0;6684.0;96970.65
Asturias;7.5;7.5;7.5;7.5;7.5;7.4;7.4;7.4;7.4;7.4;7.4;7.4;7.4;7.3;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.2;7.1;7.1;7.0;6.9;6.9;6.9;6.9;6.9;6.9;6.8;6.8;6.7;6.7;6.7;6.7;6.7;6.6;6.6;6.6;6.6;6.6;6.5;6.5;6.4;6.3;6.3;6.4;6.3;6.3;6.3;6.3;6.3;6.2;6.2;6.2;6.2;6.2;6.1;6.1;6.1;6.1;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.9;5.9;5.9;6.0;6.0;6.0;6.0;5.9;6.0;6.0;5.9;5.9;5.9;5.9;6.0;6.0;6.1;6.1;6.2;6.2;6.2;6.2;6.2;6.2;6.3;6.4;6.4;6.4;6.4;6.5;6.5;6.6;6.7;6.7;6.8;6.7;6.7;6.7;6.8;6.8;6.8;6.8;6.9;7.1;2341.76;1361.0;13.5;98.1;79552.0;63398.0;103938.28
Rioja;6.9;6.9;6.8;6.7;6.8;6.8;6.6;6.7;6.8;6.7;6.8;6.6;6.6;6.6;6.4;6.3;6.4;6.5;6.5;6.4;6.4;6.4;6.3;6.2;6.2;6.1;5.9;5.9;5.9;5.9;6.0;5.9;6.1;6.3;6.2;5.8;5.7;5.8;5.6;5.6;5.6;5.4;5.5;5.4;5.4;5.4;5.5;5.4;5.4;5.3;5.3;5.2;5.2;5.2;5.2;5.1;5.1;5.2;5.2;5.2;5.1;5.1;4.9;4.9;4.9;5.1;5.0;4.9;5.0;5.0;5.1;5.0;4.9;5.0;5.1;5.1;5.1;5.1;5.0;5.0;5.0;5.0;5.0;4.9;5.0;5.0;5.1;5.1;5.1;5.1;5.1;5.3;5.3;5.3;5.3;5.3;5.3;5.3;5.4;5.5;5.6;5.7;5.7;5.8;5.8;5.9;5.9;5.9;5.9;6.0;6.1;6.0;5.9;5.8;5.9;5.8;5.7;5.8;5.7;1987.39;1235.0;10.4;94.5;64394.0;56758.0;97816.94
Cantabria;8.3;8.1;8.1;8.0;8.0;7.9;7.9;7.8;7.9;8.0;8.2;8.2;7.9;7.6;7.6;7.6;7.5;7.5;7.6;7.5;7.5;7.7;7.7;7.7;7.6;7.3;7.2;7.4;7.3;7.3;7.3;7.2;7.2;7.2;7.4;7.3;7.3;7.3;7.2;7.1;6.9;6.7;6.8;6.7;6.9;7.0;7.0;6.9;6.8;6.7;6.7;6.6;6.6;6.6;6.6;6.5;6.5;6.5;6.5;6.5;6.4;6.4;6.4;6.3;6.3;6.2;6.1;6.1;6.1;6.1;6.2;6.1;6.0;6.0;6.0;6.0;6.0;6.0;6.1;6.1;6.1;6.0;6.0;5.9;5.9;5.9;5.9;5.8;5.9;6.0;5.9;6.0;6.0;6.0;6.0;6.0;6.1;6.1;6.1;6.2;6.3;6.4;6.4;6.5;6.6;6.7;6.8;6.8;6.8;6.8;6.8;6.9;7.0;7.0;7.0;7.0;7.0;7.0;7.0;2182.91;1454.0;11.8;98.6;76523.0;61731.0;137389.44
Navarra;8.9;8.9;8.9;8.9;8.8;8.8;8.7;8.6;8.6;8.7;8.5;8.5;8.6;8.5;8.6;8.4;8.4;8.4;8.5;8.5;8.4;8.3;8.3;8.2;8.1;7.9;7.5;7.6;7.6;7.7;7.7;7.7;7.7;7.5;7.5;7.5;7.4;7.3;7.2;7.2;7.0;7.0;6.9;7.0;7.0;7.0;7.0;6.9;6.8;6.7;6.8;6.8;6.7;6.5;6.5;6.5;6.6;6.6;6.6;6.7;6.7;6.6;6.5;6.5;6.4;6.3;6.3;6.3;6.4;6.4;6.4;6.4;6.4;6.3;6.3;6.2;6.3;6.2;6.2;6.3;6.3;6.3;6.4;6.4;6.3;6.3;6.3;6.3;6.3;6.3;6.3;6.4;6.4;6.4;6.4;6.5;6.5;6.5;6.5;6.6;6.6;6.7;6.7;6.9;7.0;7.0;7.1;7.3;7.3;7.4;7.5;7.5;7.4;7.4;7.3;7.3;7.3;7.4;7.3;2471.92;1462.0;11.7;97.9;60907.0;49198.0;153776.84
Baleares;11.7;11.6;11.4;11.3;11.3;11.4;11.7;11.9;12.0;12.3;12.5;12.7;13.1;13.7;13.6;13.2;12.9;12.6;12.6;12.6;12.5;12.6;13.0;13.5;13.9;13.8;13.1;12.8;12.5;12.4;12.4;12.4;12.2;12.4;12.9;13.7;14.0;13.8;13.2;12.5;12.0;11.8;11.9;11.8;11.8;12.2;12.8;13.3;13.4;13.0;12.1;11.2;10.7;10.4;10.2;9.9;10.0;10.2;10.6;10.9;10.9;10.4;9.8;9.1;8.8;8.4;8.2;8.2;8.2;8.6;8.6;8.8;8.7;8.6;8.4;8.1;7.9;7.9;7.9;7.7;7.7;7.8;7.8;7.8;7.9;7.7;7.6;7.5;7.5;7.5;7.5;7.5;7.5;7.6;7.6;7.7;7.7;7.5;7.5;7.4;7.5;7.5;7.8;7.9;7.9;8.1;8.1;8.2;8.2;8.1;8.1;8.1;8.1;8.2;8.2;8.2;8.3;8.4;8.5;2124.98;3169.0;17.3;102.8;90210.0;70996.0;324252.94
Almeria;6.5;6.4;6.3;6.3;6.3;6.2;6.2;6.2;6.1;6.1;6.1;6.2;6.1;6.1;6.1;6.1;6.0;6.0;6.0;5.9;5.9;6.0;6.0;6.0;6.0;5.9;5.7;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.7;5.6;5.5;5.5;5.4;5.3;5.2;5.2;5.2;5.2;5.3;5.3;5.3;5.2;5.2;5.1;5.0;5.0;5.0;5.0;4.9;4.9;4.9;5.0;5.0;4.9;4.9;4.9;4.8;4.8;4.9;4.8;4.8;4.7;4.7;4.7;4.7;4.7;4.6;4.6;4.7;4.7;4.6;4.6;4.7;4.7;4.7;4.7;4.7;4.7;4.8;4.7;4.7;4.8;4.8;4.9;4.9;4.9;4.9;4.9;5.0;5.0;4.9;4.9;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.1;5.1;5.1;5.1;5.1;5.2;5.2;5.2;5.2;5.3;5.3;5.3;5.3;1980.0;1063.0;21.2;94.5;94078.0;69007.0;94208.98
Cadiz;8.1;7.9;7.8;7.8;7.7;7.7;7.7;7.7;7.7;7.8;7.9;8.0;7.8;7.8;7.7;7.6;7.6;7.5;7.4;7.4;7.3;7.4;7.5;7.5;7.4;7.2;7.0;7.0;7.0;7.0;7.0;7.1;7.0;7.0;7.1;7.2;7.1;7.0;6.9;6.8;6.7;6.6;6.6;6.6;6.6;6.6;6.8;6.8;6.7;6.4;6.4;6.4;6.4;6.4;6.4;6.3;6.3;6.3;6.3;6.4;6.4;6.3;6.1;6.1;6.0;6.0;6.0;6.1;6.1;6.1;6.2;6.1;6.1;6.1;6.0;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.8;5.8;5.7;5.6;5.7;5.7;5.7;5.7;5.8;5.8;5.9;5.9;5.9;5.9;5.9;5.9;5.9;6.0;6.1;6.2;6.2;6.2;6.3;6.4;6.5;6.5;6.6;6.5;6.6;6.6;6.6;6.6;6.8;6.8;7.0;6.9;1980.0;1548.0;24.9;94.5;94078.0;69007.0;130520.42
Cordoba;7.1;7.1;7.0;7.0;6.9;6.9;6.8;6.8;6.8;6.8;6.8;6.9;6.9;6.8;6.7;6.8;6.7;6.6;6.5;6.6;6.6;6.7;6.7;6.7;6.7;6.5;6.5;6.5;6.5;6.4;6.3;6.3;6.3;6.4;6.5;6.5;6.4;6.3;6.3;6.4;6.5;6.4;6.3;6.1;6.1;6.0;6.0;6.0;5.9;5.9;5.9;5.9;5.9;5.8;5.8;5.7;5.7;5.7;5.8;5.7;5.7;5.6;5.8;5.8;5.9;5.8;5.8;5.7;5.7;5.7;5.7;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.6;5.5;5.5;5.5;5.6;5.6;5.5;5.5;5.4;5.4;5.5;5.5;5.6;5.6;5.5;5.6;5.8;5.8;5.8;5.9;5.9;5.9;6.0;6.0;6.1;6.1;6.1;6.1;6.2;6.3;6.3;6.4;6.3;6.3;6.3;6.3;6.3;6.4;6.4;6.5;6.5;1980.0;1232.0;23.8;94.5;94078.0;69007.0;104045.07
Granada;7.8;7.8;7.8;7.9;8.0;8.0;7.9;7.9;7.8;7.7;7.8;7.7;7.5;7.4;7.4;7.3;7.1;7.0;7.1;7.2;7.3;7.4;7.4;7.5;7.5;7.5;7.3;7.1;7.0;7.0;7.0;6.9;6.9;6.9;6.8;6.7;6.6;6.4;6.3;6.5;6.8;6.8;6.5;6.3;6.4;6.4;6.5;6.4;6.3;6.2;6.1;6.0;5.9;5.8;5.8;5.9;6.0;6.1;6.1;6.1;6.0;5.9;5.8;5.6;5.6;5.5;5.5;5.6;5.6;5.6;5.7;5.6;5.6;5.6;5.5;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.3;5.3;5.2;5.2;5.2;5.2;5.3;5.3;5.3;5.3;5.4;5.4;5.4;5.4;5.4;5.4;5.4;5.5;5.5;5.5;5.6;5.6;5.7;5.7;5.7;5.7;5.7;5.6;5.7;5.8;5.7;5.8;5.9;5.9;5.9;5.9;1980.0;1349.0;24.8;94.5;94078.0;69007.0;108325.49
Huelva;7.7;7.2;7.0;6.7;6.7;6.6;6.5;6.6;6.6;6.9;7.4;7.6;7.2;7.0;6.7;6.7;6.5;6.4;6.4;6.4;6.4;6.8;7.5;7.5;7.1;6.8;6.6;6.3;5.9;5.9;5.9;6.0;6.2;6.4;6.7;7.3;7.1;6.7;6.4;6.0;6.0;5.9;5.9;6.0;5.9;6.3;6.6;6.6;6.5;6.2;6.1;5.9;5.7;5.7;5.8;5.8;5.9;6.1;6.2;6.3;6.2;6.0;5.7;5.4;5.3;5.3;5.5;5.5;5.6;5.7;5.9;6.0;5.8;5.7;5.6;5.5;5.6;5.7;5.8;5.8;5.7;5.9;6.0;6.2;6.1;5.8;5.7;5.6;5.7;5.8;5.7;5.7;5.7;5.9;5.9;5.9;5.8;5.7;5.6;5.6;5.7;5.7;5.9;5.9;6.0;6.1;6.1;6.3;6.3;6.2;6.1;6.2;6.3;6.4;6.4;6.5;6.7;7.1;7.2;1980.0;1235.0;27.2;94.5;94078.0;69007.0;102495.04
Jaen;5.0;4.9;4.9;4.9;4.8;4.8;4.8;4.8;4.9;4.8;5.0;5.0;4.9;4.9;4.8;4.7;4.5;4.5;4.5;4.5;4.6;4.8;4.8;4.8;4.6;4.4;4.4;4.4;4.3;4.2;4.3;4.3;4.4;4.4;4.5;4.5;4.3;4.3;4.1;4.2;4.2;4.1;4.2;4.2;4.2;4.3;4.4;4.4;4.3;4.1;4.1;4.0;4.0;4.0;4.0;4.1;4.2;4.2;4.2;4.2;4.1;4.1;4.2;4.1;4.2;4.1;4.1;4.2;4.3;4.3;4.4;4.3;4.3;4.2;4.2;4.2;4.3;4.3;4.3;4.4;4.4;4.5;4.5;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.4;4.5;4.5;4.6;4.7;4.7;4.7;4.6;4.6;4.7;4.7;4.7;4.7;4.8;4.8;4.8;4.9;4.9;5.0;5.0;4.8;4.8;4.8;4.8;4.7;4.7;4.7;4.8;4.8;1980.0;847.0;22.8;94.5;94078.0;69007.0;77577.26
Malaga;9.5;9.4;9.4;9.4;9.4;9.4;9.5;9.6;9.6;9.7;9.8;9.8;9.9;9.8;9.7;9.6;9.6;9.7;9.7;9.7;9.6;9.4;9.4;9.5;9.4;9.3;9.2;9.2;9.2;9.3;9.3;9.4;9.4;9.3;9.4;9.4;9.3;9.1;9.0;8.9;8.9;8.8;8.7;8.5;8.5;8.4;8.3;8.2;8.2;8.0;7.9;7.7;7.6;7.6;7.5;7.4;7.3;7.2;7.3;7.3;7.3;7.2;7.2;7.1;7.1;7.0;6.9;6.9;6.9;6.9;6.9;6.9;6.8;6.7;6.7;6.7;6.6;6.6;6.6;6.6;6.6;6.6;6.6;6.5;6.4;6.4;6.4;6.4;6.4;6.4;6.4;6.4;6.4;6.4;6.4;6.5;6.4;6.4;6.4;6.4;6.5;6.5;6.5;6.6;6.6;6.6;6.7;6.7;6.7;6.8;6.7;6.7;6.7;6.8;6.9;6.9;6.9;6.9;7.0;1980.0;2374.0;19.3;94.5;94078.0;69007.0;234004.81
